DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,4.149,4.245,-0.03,0.126,4.245,-0.061,4.214,0,4.275
202209140100,3.946,4.044,0,0.098,4.044,-0.03,4.013,0,4.044
202209140200,3.308,3.434,0,0.126,3.434,-0.03,3.403,0,3.434
202209140300,2.362,2.508,0,0.146,2.508,-0.03,2.478,0,2.508
202209140400,1.303,1.456,0,0.154,1.456,-0.03,1.426,0,1.456
202209140500,0.381,0.543,-0.03,0.192,0.543,-0.03,0.543,0,0.573
202209140600,-0.109,-0.009,0,0.1,-0.009,0,-0.009,0,-0.009
202209140700,-0.005,0.134,0,0.139,0.134,0,0.134,0,0.134
202209140800,0.604,0.722,0,0.118,0.722,0,0.722,0.03,0.752
202209140900,1.488,1.499,0,0.012,1.499,0,1.499,0.03,1.53
202209141000,2.403,2.376,0,-0.027,2.376,0,2.376,0.03,2.407
202209141100,3.135,3.093,0.03,-0.073,3.093,0,3.063,0.03,3.093
202209141200,3.544,3.583,0.03,0.009,3.583,0,3.552,0.061,3.613
202209141300,3.567,3.614,0.03,0.016,3.614,0,3.584,0.061,3.644
202209141400,3.206,3.245,0.03,0.009,3.245,0,3.214,0.061,3.275
202209141500,2.543,2.587,0.03,0.014,2.587,0,2.557,0.03,2.587
202209141600,1.731,1.811,0.03,0.049,1.811,0,1.78,0.03,1.811
202209141700,0.963,1.073,0,0.109,1.073,0,1.073,0.03,1.103
202209141800,0.489,0.622,0,0.133,0.622,0,0.622,0,0.622
202209141900,0.522,0.655,0,0.133,0.655,0,0.655,0,0.655
202209142000,1.056,1.186,0,0.13,1.186,0,1.186,0,1.186
202209142100,1.89,1.959,0,0.069,1.959,0,1.959,0,1.959
202209142200,2.782,2.809,0,0.027,2.809,0,2.809,0,2.809
202209142300,3.514,3.556,0,0.041,3.556,0,3.556,0,3.556
202209150000,3.928,3.995,0,0.067,3.995,0,3.995,0,3.995
202209150100,3.953,3.989,0,0.036,3.989,0,3.989,0,3.989
202209150200,3.584,3.623,0,0.039,3.623,0,3.623,0,3.623
202209150300,2.882,2.937,0,0.055,2.937,0,2.937,0,2.937
202209150400,1.985,2.053,0,0.069,2.053,-0.03,2.023,0,2.053
202209150500,1.063,1.152,0,0.088,1.152,-0.03,1.121,0,1.152
202209150600,0.337,0.442,0,0.105,0.442,0,0.442,0,0.442
202209150700,0.046,0.131,0,0.084,0.131,0,0.131,0,0.131
202209150800,0.285,0.396,0,0.111,0.396,-0.03,0.365,0,0.396
202209150900,0.915,0.948,0,0.033,0.948,-0.03,0.917,0,0.948
202209151000,1.709,1.661,-0.03,-0.018,1.661,-0.03,1.661,0,1.691
202209151100,2.456,2.386,-0.03,-0.039,2.386,-0.03,2.386,0,2.417
202209151200,2.992,2.928,0,-0.064,2.928,0,2.928,0,2.928
202209151300,3.235,3.193,0,-0.042,3.193,-0.03,3.163,0,3.193
202209151400,3.168,3.087,-0.03,-0.051,3.087,-0.03,3.087,0,3.117
202209151500,2.816,2.693,-0.03,-0.093,2.693,-0.03,2.693,0,2.724
202209151600,2.266,2.191,-0.03,-0.045,2.191,-0.061,2.161,-0.03,2.191
202209151700,1.646,1.615,-0.03,-0.001,1.615,-0.061,1.584,-0.03,1.615
202209151800,1.11,1.148,-0.061,0.099,1.148,-0.091,1.118,-0.061,1.148
202209151900,0.868,0.896,-0.091,0.119,0.896,-0.091,0.896,-0.061,0.926
202209152000,1.068,1.119,-0.091,0.142,1.119,-0.091,1.119,-0.061,1.149
202209152100,1.645,1.669,-0.061,0.085,1.669,-0.091,1.639,-0.061,1.669
202209152200,2.389,2.395,-0.061,0.067,2.395,-0.091,2.365,-0.061,2.395
202209152300,3.089,3.056,-0.061,0.028,3.056,-0.061,3.056,-0.03,3.086
202209160000,3.579,3.58,-0.091,0.092,3.58,-0.091,3.58,-0.091,3.58
202209160100,3.765,3.751,-0.091,0.077,3.751,-0.091,3.751,-0.091,3.751
202209160200,3.631,3.617,-0.122,0.108,3.617,-0.122,3.617,-0.091,3.648
202209160300,3.195,3.209,-0.122,0.136,3.209,-0.122,3.209,-0.091,3.239
202209160400,2.526,2.584,-0.122,0.18,2.584,-0.122,2.584,-0.091,2.615
202209160500,1.745,1.811,-0.122,0.187,1.811,-0.122,1.811,-0.091,1.841
202209160600,0.991,1.094,-0.091,0.194,1.094,-0.122,1.063,-0.091,1.094
202209160700,0.45,0.524,-0.122,0.195,0.524,-0.122,0.524,-0.091,0.554
202209160800,0.316,0.369,-0.122,0.175,0.369,-0.152,0.338,-0.091,0.399
202209160900,0.617,0.698,-0.122,0.203,0.698,-0.152,0.667,-0.091,0.728
202209161000,1.189,1.224,-0.122,0.157,1.224,-0.152,1.194,-0.091,1.255
202209161100,1.831,1.811,-0.152,0.132,1.811,-0.152,1.811,-0.122,1.841
202209161200,2.383,2.303,-0.091,0.012,2.303,-0.122,2.273,-0.091,2.303
202209161300,2.747,2.681,-0.122,0.056,2.681,-0.122,2.681,-0.091,2.712
202209161400,2.89,2.791,-0.122,0.023,2.791,-0.152,2.761,-0.122,2.791
202209161500,2.815,2.733,-0.152,0.07,2.733,-0.152,2.733,-0.122,2.764
202209161600,2.545,2.492,-0.152,0.1,2.492,-0.152,2.492,-0.122,2.523
202209161700,2.148,2.102,-0.152,0.107,2.102,-0.152,2.102,-0.122,2.133
202209161800,1.717,1.691,-0.122,0.096,1.691,-0.152,1.661,-0.122,1.691
202209161900,1.377,1.419,-0.152,0.194,1.419,-0.152,1.419,-0.122,1.45
202209162000,1.301,1.326,-0.122,0.147,1.326,-0.152,1.295,-0.122,1.326
202209162100,1.579,1.624,-0.122,0.167,1.624,-0.152,1.594,-0.122,1.624
202209162200,2.106,2.102,-0.122,0.118,2.102,-0.152,2.072,-0.122,2.102
202209162300,2.687,2.648,-0.122,0.083,2.648,-0.152,2.618,-0.122,2.648
202209170000,3.167,3.093,-0.152,0.078,3.093,-0.183,3.063,-0.152,3.093
202209170100,3.447,3.367,-0.183,0.103,3.367,-0.183,3.367,-0.152,3.398
202209170200,3.488,3.391,-0.183,0.085,3.391,-0.183,3.391,-0.152,3.421
