DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,3.795,NaN,-0.03,NaN,3.764,-0.061,3.734,-0.03,3.764
202209140100,3.932,3.943,-0.03,0.041,3.943,-0.061,3.912,-0.03,3.943
202209140200,3.572,3.59,-0.03,0.049,3.59,-0.061,3.559,-0.03,3.59
202209140300,2.832,2.922,-0.03,0.12,2.922,-0.03,2.922,-0.03,2.922
202209140400,1.893,1.938,-0.03,0.076,1.938,-0.03,1.938,-0.03,1.938
202209140500,0.965,0.988,-0.03,0.053,0.988,-0.03,0.988,0,1.018
202209140600,0.246,0.274,0,0.028,0.274,-0.03,0.243,0,0.274
202209140700,-0.105,-0.046,0,0.059,-0.046,0,-0.046,0,-0.046
202209140800,-0.013,0.049,0,0.062,0.049,0,0.049,0,0.049
202209140900,0.496,0.506,0,0.01,0.506,0,0.506,0,0.506
202209141000,1.326,1.331,0,0.005,1.331,0,1.331,0,1.331
202209141100,2.283,2.3,0,0.017,2.3,0,2.3,0.03,2.331
202209141200,3.06,3.056,0,-0.004,3.056,0,3.056,0.03,3.086
202209141300,3.417,3.361,0,-0.056,3.361,0,3.361,0.03,3.392
202209141400,3.313,3.212,0,-0.101,3.212,0,3.212,0.03,3.242
202209141500,2.837,2.76,0.03,-0.107,2.76,0,2.73,0.03,2.76
202209141600,2.136,2.099,0.03,-0.067,2.099,0,2.069,0.061,2.13
202209141700,1.396,1.377,0.03,-0.049,1.377,0,1.347,0.061,1.408
202209141800,0.806,0.817,0,0.011,0.817,0,0.817,0,0.817
202209141900,0.517,0.536,0,0.019,0.536,0,0.536,0.03,0.566
202209142000,0.613,0.655,0,0.042,0.655,0,0.655,0.03,0.685
202209142100,1.07,1.127,0,0.058,1.127,0,1.127,0.03,1.158
202209142200,1.799,1.825,0,0.026,1.825,0,1.825,0.03,1.856
202209142300,2.656,2.684,0,0.028,2.684,0,2.684,0,2.684
202209150000,3.393,NaN,0,NaN,3.393,-0.03,3.363,0,3.393
202209150100,3.755,3.687,0,-0.068,3.687,-0.03,3.656,0,3.687
202209150200,3.654,3.541,-0.03,-0.083,3.541,-0.03,3.541,0,3.571
202209150300,3.164,3.111,-0.03,-0.022,3.111,-0.03,3.111,0,3.142
