DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,2.138,NaN,0.122,NaN,2.26,0.03,2.169,0.183,2.321
202209140100,1.522,NaN,0.122,NaN,1.644,0.03,1.553,0.152,1.675
202209140200,0.928,NaN,0.091,NaN,1.019,0.03,0.958,0.152,1.08
202209140300,0.428,NaN,0.061,NaN,0.489,0,0.428,0.122,0.55
202209140400,0.198,NaN,0.03,NaN,0.229,-0.03,0.168,0.091,0.29
202209140500,0.398,NaN,0,NaN,0.398,-0.091,0.307,0.061,0.459
202209140600,0.964,NaN,0.03,NaN,0.995,0,0.964,0.061,1.025
202209140700,1.677,NaN,0,NaN,1.677,-0.03,1.646,0.061,1.738
202209140800,2.359,NaN,0,NaN,2.359,-0.03,2.328,0.061,2.42
202209140900,2.895,NaN,0,NaN,2.895,-0.03,2.864,0.061,2.956
202209141000,3.164,NaN,0.03,NaN,3.194,-0.03,3.133,0.061,3.225
202209141100,3.072,NaN,0.03,NaN,3.103,0,3.072,0.061,3.133
202209141200,2.656,NaN,0.061,NaN,2.717,0,2.656,0.122,2.778
202209141300,2.066,NaN,0.061,NaN,2.127,0,2.066,0.122,2.188
202209141400,1.433,NaN,0.061,NaN,1.494,0,1.433,0.122,1.554
202209141500,0.82,NaN,0.061,NaN,0.881,0,0.82,0.091,0.911
202209141600,0.365,NaN,0.061,NaN,0.426,0.03,0.396,0.091,0.457
202209141700,0.279,NaN,0.061,NaN,0.34,0.03,0.309,0.091,0.37
202209141800,0.61,NaN,0.03,NaN,0.641,0,0.61,0.091,0.702
202209141900,1.19,NaN,0.061,NaN,1.251,0,1.19,0.091,1.282
202209142000,1.816,NaN,0.061,NaN,1.877,0,1.816,0.091,1.907
202209142100,2.357,NaN,0.061,NaN,2.418,0.03,2.387,0.091,2.448
202209142200,2.7,NaN,0.091,NaN,2.791,0.061,2.761,0.122,2.822
202209142300,2.727,NaN,0.091,NaN,2.819,0.061,2.788,0.122,2.849
202209150000,2.417,NaN,0.152,NaN,2.569,0.122,2.539,0.244,2.661
202209150100,1.888,NaN,0.213,NaN,2.102,0.152,2.041,0.274,2.163
202209150200,1.302,NaN,0.244,NaN,1.546,0.213,1.515,0.305,1.607
202209150300,0.745,NaN,0.305,NaN,1.05,0.244,0.989,0.335,1.08
202209150400,0.312,NaN,0.366,NaN,0.678,0.274,0.586,0.396,0.708
202209150500,0.198,NaN,0.457,NaN,0.656,0.335,0.534,0.518,0.717
202209150600,0.531,NaN,0.549,NaN,1.079,0.457,0.988,0.61,1.14
202209150700,1.195,NaN,0.64,NaN,1.835,0.518,1.713,0.732,1.927
202209150800,1.958,NaN,0.701,NaN,2.659,0.579,2.537,0.823,2.781
202209150900,2.651,NaN,0.792,NaN,3.444,0.64,3.291,0.884,3.535
202209151000,3.161,NaN,0.823,NaN,3.984,0.701,3.862,0.945,4.106
202209151100,3.374,NaN,0.853,NaN,4.228,0.701,4.075,0.945,4.319
202209151200,3.225,NaN,0.853,NaN,4.078,0.732,3.956,0.945,4.17
202209151300,2.772,NaN,0.945,NaN,3.717,0.792,3.565,1.036,3.809
202209151400,2.164,NaN,1.006,NaN,3.17,0.853,3.018,1.158,3.323
202209151500,1.502,NaN,1.128,NaN,2.63,0.975,2.477,1.25,2.751
202209151600,0.846,NaN,1.219,NaN,2.065,1.067,1.912,1.341,2.187
202209151700,0.359,NaN,1.28,NaN,1.639,1.097,1.456,1.402,1.761
202209151800,0.252,NaN,1.28,NaN,1.533,1.128,1.38,1.402,1.654
202209151900,0.553,NaN,1.28,NaN,1.833,1.158,1.711,1.433,1.985
202209152000,1.087,NaN,1.25,NaN,2.337,1.128,2.215,1.433,2.52
202209152100,1.673,NaN,1.189,NaN,2.861,1.067,2.74,1.372,3.044
202209152200,2.186,NaN,1.097,NaN,3.283,0.945,3.131,1.25,3.436
202209152300,2.502,NaN,0.945,NaN,3.447,0.823,3.325,1.097,3.599
202209160000,2.504,NaN,0.732,NaN,3.235,0.549,3.053,0.823,3.327
202209160100,2.183,NaN,0.61,NaN,2.792,0.518,2.701,0.732,2.914
202209160200,1.666,NaN,0.549,NaN,2.215,0.457,2.123,0.64,2.306
202209160300,1.108,NaN,0.488,NaN,1.595,0.396,1.504,0.549,1.656
202209160400,0.594,NaN,0.427,NaN,1.021,0.335,0.93,0.488,1.082
202209160500,0.245,NaN,0.335,NaN,0.58,0.274,0.519,0.396,0.641
202209160600,0.257,NaN,0.244,NaN,0.501,0.183,0.44,0.274,0.531
202209160700,0.713,NaN,0.183,NaN,0.896,0.122,0.835,0.244,0.957
202209160800,1.454,NaN,0.122,NaN,1.576,0.061,1.515,0.183,1.637
202209160900,2.242,NaN,0.091,NaN,2.333,0.03,2.272,0.122,2.364
202209161000,2.918,NaN,0.061,NaN,2.979,0.03,2.949,0.122,3.04
202209161100,3.381,NaN,0.091,NaN,3.472,0.03,3.411,0.122,3.503
202209161200,3.531,NaN,0.183,NaN,3.714,0.061,3.592,0.366,3.897
202209161300,3.325,NaN,0.244,NaN,3.569,0.122,3.447,0.427,3.752
