DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,3.51,NaN,-0.03,NaN,3.48,-0.061,3.449,-0.03,3.48
202209140100,3.08,NaN,-0.061,NaN,3.019,-0.061,3.019,-0.03,3.049
202209140200,2.316,NaN,-0.061,NaN,2.255,-0.061,2.255,-0.03,2.285
202209140300,1.421,NaN,-0.03,NaN,1.39,-0.061,1.36,-0.03,1.39
202209140400,0.61,NaN,-0.03,NaN,0.58,-0.03,0.58,0,0.61
202209140500,0.061,NaN,0,NaN,0.061,-0.03,0.03,0,0.061
202209140600,-0.106,NaN,0,NaN,-0.106,0,-0.106,0.03,-0.076
202209140700,0.143,NaN,0,NaN,0.143,0,0.143,0.03,0.173
202209140800,0.736,NaN,0.03,NaN,0.767,0,0.736,0.03,0.767
202209140900,1.514,NaN,0.03,NaN,1.544,0,1.514,0.03,1.544
202209141000,2.279,NaN,0,NaN,2.279,0,2.279,0.03,2.309
202209141100,2.843,NaN,0.03,NaN,2.873,0,2.843,0.03,2.873
202209141200,3.064,NaN,0,NaN,3.064,0,3.064,0.03,3.094
202209141300,2.889,NaN,0.03,NaN,2.92,0,2.889,0.03,2.92
202209141400,2.382,NaN,0,NaN,2.382,0,2.382,0.03,2.413
202209141500,1.706,NaN,0,NaN,1.706,0,1.706,0.03,1.736
202209141600,1.054,NaN,0,NaN,1.054,0,1.054,0.03,1.084
202209141700,0.593,NaN,0.03,NaN,0.624,0,0.593,0.03,0.624
202209141800,0.442,NaN,0,NaN,0.442,0,0.442,0,0.442
202209141900,0.653,NaN,0,NaN,0.653,0,0.653,0,0.653
202209142000,1.186,NaN,0,NaN,1.186,0,1.186,0.03,1.216
202209142100,1.908,NaN,0,NaN,1.908,0,1.908,0.03,1.939
202209142200,2.638,NaN,0,NaN,2.638,0,2.638,0.03,2.669
202209142300,3.194,NaN,0,NaN,3.194,0,3.194,0.03,3.225
202209150000,3.429,NaN,0,NaN,3.429,-0.03,3.399,0,3.429
202209150100,3.268,NaN,-0.03,NaN,3.237,-0.03,3.237,0,3.268
202209150200,2.737,NaN,-0.03,NaN,2.706,-0.03,2.706,0,2.737
202209150300,1.971,NaN,-0.03,NaN,1.941,-0.03,1.941,0,1.971
202209150400,1.163,1.012,-0.03,-0.121,1.012,-0.03,1.012,0,1.042
202209150500,0.494,0.344,-0.03,-0.119,0.344,-0.03,0.344,0,0.374
202209150600,0.098,-0.055,0,-0.153,-0.055,-0.03,-0.085,0,-0.055
202209150700,0.057,-0.104,0,-0.161,-0.104,-0.03,-0.134,0,-0.104
202209150800,0.37,0.189,-0.03,-0.151,0.189,-0.03,0.189,0,0.219
202209150900,0.944,0.75,0,-0.194,0.75,-0.03,0.719,0,0.75
202209151000,1.622,1.398,0,-0.223,1.398,-0.03,1.368,0,1.398
202209151100,2.237,2.008,0,-0.229,2.008,-0.03,1.978,0,2.008
