DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,2.492,2.776,0.152,0.131,2.776,0.122,2.746,0.213,2.837
202209140100,1.922,2.194,0.152,0.12,2.194,0.122,2.164,0.213,2.255
202209140200,1.351,1.622,0.152,0.118,1.622,0.122,1.591,0.213,1.682
202209140300,0.92,1.219,0.152,0.146,1.219,0.122,1.188,0.213,1.28
202209140400,0.77,1.006,0.152,0.083,1.006,0.122,0.975,0.213,1.066
202209140500,0.977,1.148,0.122,0.05,1.148,0.091,1.118,0.183,1.209
202209140600,1.448,1.508,0.122,-0.062,1.508,0.061,1.447,0.152,1.539
202209140700,2.001,2.038,0.091,-0.055,2.038,0.061,2.008,0.152,2.099
202209140800,2.503,2.529,0.091,-0.066,2.529,0.061,2.499,0.122,2.56
202209140900,2.863,2.898,0.091,-0.056,2.898,0.061,2.868,0.122,2.929
202209141000,2.982,3.102,0.061,0.059,3.102,0.061,3.102,0.122,3.163
202209141100,2.805,2.974,0.061,0.108,2.974,0.03,2.943,0.122,3.035
202209141200,2.355,2.501,0.061,0.085,2.501,0.03,2.471,0.091,2.532
202209141300,1.728,1.858,0.061,0.069,1.858,0.03,1.828,0.091,1.889
202209141400,1.062,1.204,0.061,0.08,1.204,0.03,1.173,0.091,1.234
202209141500,0.494,0.649,0.061,0.094,0.649,0.03,0.618,0.091,0.679
202209141600,0.163,0.238,0.061,0.013,0.238,0.03,0.207,0.091,0.268
202209141700,0.198,0.171,0.03,-0.058,0.171,0,0.14,0.061,0.201
202209141800,0.6,0.543,0,-0.057,0.543,0,0.543,0.03,0.573
202209141900,1.221,1.145,0,-0.075,1.145,0,1.145,0.03,1.176
202209142000,1.902,1.819,0,-0.082,1.819,0,1.819,0.03,1.85
202209142100,2.532,2.41,0,-0.122,2.41,0,2.41,0,2.41
202209142200,2.992,2.889,0,-0.103,2.889,0,2.889,0,2.889
202209142300,3.172,3.154,0,-0.018,3.154,0,3.154,0,3.154
202209150000,3.034,3.16,0.03,0.096,3.16,0,3.13,0.061,3.191
202209150100,2.63,2.867,0.03,0.206,2.867,0,2.837,0.091,2.928
202209150200,2.085,2.319,0.03,0.204,2.319,0,2.289,0.091,2.38
202209150300,1.539,1.758,0.03,0.189,1.758,0,1.728,0.061,1.789
202209150400,1.126,1.398,0.061,0.212,1.398,0.03,1.368,0.091,1.429
202209150500,0.986,1.227,0.061,0.18,1.227,0.03,1.197,0.122,1.288
202209150600,1.182,1.311,0.122,0.007,1.311,0.091,1.28,0.183,1.372
202209150700,1.612,1.712,0.152,-0.052,1.712,0.091,1.651,0.183,1.743
202209150800,2.1,2.175,0.152,-0.077,2.175,0.122,2.145,0.213,2.236
202209150900,2.53,2.617,0.152,-0.065,2.617,0.122,2.587,0.213,2.678
202209151000,2.811,2.91,0.152,-0.053,2.91,0.091,2.849,0.244,3.002
202209151100,2.851,2.989,0.152,-0.014,2.989,0.091,2.928,0.244,3.081
202209151200,2.606,2.739,0.152,-0.019,2.739,0.091,2.678,0.183,2.77
202209151300,2.11,2.2,0.152,-0.062,2.2,0.122,2.17,0.183,2.231
202209151400,1.471,1.579,0.183,-0.075,1.579,0.122,1.518,0.213,1.609
202209151500,0.826,1.012,0.183,0.003,1.012,0.122,0.951,0.244,1.073
202209151600,0.3,0.533,0.213,0.019,0.533,0.122,0.441,0.274,0.594
202209151700,0.027,0.195,0.183,-0.016,0.195,0.122,0.134,0.274,0.286
202209151800,0.128,0.201,0.183,-0.11,0.201,0.122,0.14,0.274,0.292
202209151900,0.584,0.646,0.152,-0.091,0.646,0.091,0.585,0.244,0.737
202209152000,1.239,1.262,0.122,-0.1,1.262,0.061,1.201,0.213,1.353
202209152100,1.946,1.898,0.091,-0.14,1.898,0.03,1.837,0.152,1.959
202209152200,2.598,2.486,0.061,-0.172,2.486,0,2.425,0.091,2.517
202209152300,3.068,2.965,0.03,-0.134,2.965,0,2.935,0.061,2.996
202209160000,3.249,3.178,-0.03,-0.041,3.178,-0.061,3.148,0,3.209
202209160100,3.112,3.172,-0.03,0.09,3.172,-0.03,3.172,0,3.203
202209160200,2.72,2.843,0,0.123,2.843,-0.03,2.813,0,2.843
202209160300,2.199,2.361,0,0.162,2.361,0,2.361,0.03,2.392
202209160400,1.679,1.861,0.03,0.152,1.861,0,1.831,0.091,1.922
202209160500,1.287,1.456,0.03,0.139,1.456,0,1.426,0.091,1.517
202209160600,1.161,1.308,0,0.147,1.308,-0.03,1.277,0.03,1.338
202209160700,1.35,1.352,0,0.002,1.352,-0.03,1.322,0,1.352
202209160800,1.737,1.658,0,-0.08,1.658,-0.03,1.627,0,1.658
202209160900,2.16,2.041,0,-0.118,2.041,-0.03,2.011,0,2.041
202209161000,2.518,2.389,0,-0.129,2.389,-0.03,2.359,0,2.389
202209161100,2.727,2.678,0,-0.049,2.678,-0.03,2.648,0,2.678
202209161200,2.697,2.76,0.03,0.033,2.76,0,2.73,0.122,2.852
202209161300,2.396,2.55,0.061,0.094,2.55,0,2.489,0.152,2.642
202209161400,1.875,2.12,0.091,0.154,2.12,0.03,2.059,0.183,2.212
202209161500,1.249,1.581,0.152,0.18,1.581,0.091,1.52,0.244,1.673
202209161600,0.646,1.038,0.244,0.149,1.038,0.152,0.947,0.335,1.13
202209161700,0.176,0.543,0.305,0.062,0.543,0.183,0.421,0.396,0.634
202209161800,-0.027,NaN,0.305,NaN,0.278,0.213,0.187,0.396,0.369
202209161900,0.144,NaN,0.305,NaN,0.448,0.213,0.357,0.396,0.54
202209162000,0.643,NaN,0.244,NaN,0.887,0.183,0.826,0.335,0.979
202209162100,1.314,NaN,0.213,NaN,1.527,0.122,1.436,0.274,1.588
202209162200,2.024,NaN,0.152,NaN,2.177,0.061,2.085,0.213,2.238
202209162300,2.672,NaN,0.091,NaN,2.763,0.03,2.702,0.183,2.855
202209170000,3.127,NaN,0.152,NaN,3.279,0.061,3.188,0.274,3.401
202209170100,3.286,NaN,0.152,NaN,3.439,0.061,3.347,0.274,3.561
202209170200,3.138,NaN,0.152,NaN,3.29,0.091,3.229,0.274,3.412
202209170300,2.756,NaN,0.152,NaN,2.909,0.061,2.817,0.244,3
202209170400,2.261,NaN,0.152,NaN,2.413,0.061,2.322,0.244,2.505
202209170500,1.769,NaN,0.152,NaN,1.921,0.061,1.83,0.274,2.043
202209170600,1.405,NaN,0.213,NaN,1.618,0.122,1.526,0.305,1.709
202209170700,1.302,NaN,0.244,NaN,1.546,0.152,1.455,0.335,1.637
202209170800,1.486,NaN,0.274,NaN,1.761,0.183,1.669,0.335,1.821
202209170900,1.83,NaN,0.244,NaN,2.074,0.152,1.982,0.335,2.165
202209171000,2.191,NaN,0.213,NaN,2.404,0.122,2.313,0.274,2.465
202209171100,2.486,NaN,0.152,NaN,2.638,0.061,2.547,0.213,2.699
202209171200,2.63,NaN,0.061,NaN,2.691,-0.03,2.6,0.183,2.813
202209171300,2.539,NaN,0.03,NaN,2.569,-0.061,2.478,0.152,2.691
202209171400,2.197,NaN,0.061,NaN,2.258,-0.03,2.167,0.122,2.319
202209171500,1.671,NaN,0.091,NaN,1.763,0,1.671,0.152,1.824
