DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,1.424,NaN,-0.091,NaN,1.333,-0.152,1.272,-0.03,1.394
202209140100,1.383,NaN,-0.091,NaN,1.292,-0.152,1.231,-0.03,1.353
202209140200,1.154,NaN,-0.091,NaN,1.063,-0.152,1.002,-0.061,1.093
202209140300,0.828,NaN,-0.091,NaN,0.737,-0.152,0.676,-0.061,0.767
202209140400,0.503,NaN,-0.091,NaN,0.411,-0.152,0.35,-0.061,0.442
202209140500,0.238,NaN,-0.091,NaN,0.147,-0.152,0.086,-0.03,0.208
202209140600,0.052,NaN,-0.091,NaN,-0.04,-0.152,-0.101,-0.03,0.021
202209140700,-0.043,NaN,-0.091,NaN,-0.135,-0.152,-0.196,-0.03,-0.074
202209140800,-0.013,NaN,-0.091,NaN,-0.104,-0.152,-0.165,-0.03,-0.043
202209140900,0.168,NaN,-0.091,NaN,0.076,-0.152,0.015,-0.03,0.137
202209141000,0.486,NaN,-0.091,NaN,0.395,-0.122,0.364,-0.03,0.456
202209141100,0.861,NaN,-0.061,NaN,0.8,-0.091,0.769,-0.03,0.83
202209141200,1.14,NaN,-0.061,NaN,1.079,-0.091,1.049,0,1.14
202209141300,1.211,NaN,-0.03,NaN,1.18,-0.091,1.119,0,1.211
202209141400,1.078,NaN,-0.03,NaN,1.047,-0.061,1.017,0,1.078
202209141500,0.827,NaN,0,NaN,0.827,-0.03,0.796,0,0.827
202209141600,0.555,NaN,0,NaN,0.555,-0.03,0.524,0.03,0.585
202209141700,0.332,NaN,0,NaN,0.332,0,0.332,0.03,0.362
202209141800,0.183,NaN,0,NaN,0.183,0,0.183,0.03,0.214
202209141900,0.115,NaN,0,NaN,0.115,0,0.115,0.03,0.145
202209142000,0.151,NaN,0.03,NaN,0.181,0,0.151,0.061,0.212
202209142100,0.318,NaN,0.061,NaN,0.379,0.03,0.349,0.091,0.41
202209142200,0.621,NaN,0.091,NaN,0.713,0.061,0.682,0.122,0.743
202209142300,1.01,NaN,0.122,NaN,1.132,0.091,1.102,0.152,1.163
202209150000,1.349,NaN,0.152,NaN,1.501,0.122,1.471,0.213,1.562
202209150100,1.486,NaN,0.213,NaN,1.699,0.152,1.638,0.244,1.73
202209150200,1.382,NaN,0.244,NaN,1.626,0.183,1.565,0.305,1.687
202209150300,1.108,NaN,0.335,NaN,1.443,0.213,1.321,0.427,1.534
202209150400,0.765,NaN,0.427,NaN,1.192,0.274,1.039,0.518,1.283
202209150500,0.438,NaN,0.549,NaN,0.987,0.366,0.804,0.671,1.109
202209150600,0.173,NaN,0.64,NaN,0.813,0.488,0.661,0.732,0.905
202209150700,-0.014,NaN,0.701,NaN,0.687,0.579,0.565,0.823,0.809
202209150800,-0.103,NaN,0.762,NaN,0.659,0.64,0.537,0.853,0.75
202209150900,-0.058,NaN,0.792,NaN,0.735,0.671,0.613,0.884,0.826
202209151000,0.144,NaN,0.823,NaN,0.967,0.671,0.814,0.975,1.119
202209151100,0.486,NaN,0.884,NaN,1.369,0.701,1.187,1.067,1.552
202209151200,0.864,NaN,0.823,NaN,1.687,0.671,1.534,0.975,1.839
202209151300,1.116,NaN,0.853,NaN,1.969,0.701,1.817,1.036,2.152
202209151400,1.148,NaN,0.884,NaN,2.032,0.732,1.88,1.067,2.215
202209151500,1.001,NaN,0.884,NaN,1.885,0.701,1.702,1.097,2.098
202209151600,0.766,NaN,0.853,NaN,1.62,0.701,1.467,1.067,1.833
202209151700,0.529,NaN,0.792,NaN,1.321,0.61,1.138,0.975,1.504
202209151800,0.342,NaN,0.701,NaN,1.043,0.579,0.921,0.792,1.134
202209151900,0.224,NaN,0.64,NaN,0.864,0.518,0.742,0.732,0.955
202209152000,0.183,NaN,0.549,NaN,0.731,0.427,0.609,0.64,0.823
202209152100,0.243,NaN,0.457,NaN,0.7,0.366,0.609,0.579,0.822
202209152200,0.433,NaN,0.396,NaN,0.83,0.305,0.738,0.488,0.921
202209152300,0.753,NaN,0.335,NaN,1.088,0.244,0.997,0.396,1.149
202209160000,1.134,NaN,0.305,NaN,1.439,0.213,1.348,0.396,1.53
