DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,2.661,NaN,0.091,NaN,2.752,0.03,2.691,0.152,2.813
202209140100,2.266,NaN,0.091,NaN,2.357,0,2.266,0.152,2.418
202209140200,1.743,NaN,0.061,NaN,1.804,0,1.743,0.122,1.865
202209140300,1.203,NaN,0.061,NaN,1.264,0,1.203,0.091,1.294
202209140400,0.701,NaN,0.03,NaN,0.731,-0.03,0.671,0.091,0.792
202209140500,0.306,NaN,0,NaN,0.306,-0.061,0.245,0.061,0.367
202209140600,0.176,NaN,0,NaN,0.176,-0.03,0.146,0.061,0.237
202209140700,0.479,NaN,0,NaN,0.479,-0.061,0.418,0.03,0.509
202209140800,1.13,NaN,0,NaN,1.13,-0.061,1.069,0.03,1.16
202209140900,1.862,NaN,-0.03,NaN,1.832,-0.061,1.801,0.03,1.892
202209141000,2.513,NaN,-0.03,NaN,2.483,-0.061,2.452,0.03,2.543
202209141100,2.973,NaN,0,NaN,2.973,-0.061,2.912,0.03,3.003
202209141200,3.082,NaN,0.03,NaN,3.112,-0.03,3.052,0.091,3.173
202209141300,2.811,NaN,0.03,NaN,2.841,-0.03,2.781,0.091,2.902
202209141400,2.315,NaN,0.03,NaN,2.345,0,2.315,0.091,2.406
202209141500,1.737,NaN,0.03,NaN,1.767,0,1.737,0.091,1.828
202209141600,1.147,NaN,0.061,NaN,1.208,0,1.147,0.091,1.238
202209141700,0.599,NaN,0.03,NaN,0.629,0,0.599,0.091,0.69
202209141800,0.219,NaN,0.03,NaN,0.249,0,0.219,0.061,0.28
202209141900,0.207,NaN,0.03,NaN,0.237,0,0.207,0.061,0.268
202209142000,0.614,NaN,0.061,NaN,0.675,0.03,0.644,0.091,0.705
202209142100,1.223,NaN,0.061,NaN,1.284,0.03,1.253,0.091,1.314
202209142200,1.815,NaN,0.061,NaN,1.876,0.03,1.845,0.091,1.906
202209142300,2.295,NaN,0.091,NaN,2.386,0.061,2.356,0.122,2.417
202209150000,2.52,NaN,0.152,NaN,2.672,0.122,2.642,0.244,2.764
202209150100,2.385,NaN,0.213,NaN,2.598,0.183,2.568,0.274,2.659
202209150200,1.991,NaN,0.274,NaN,2.265,0.213,2.204,0.335,2.326
202209150300,1.504,NaN,0.335,NaN,1.839,0.274,1.778,0.396,1.9
202209150400,1.014,NaN,0.427,NaN,1.441,0.335,1.349,0.457,1.471
