DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,0.947,NaN,-0.061,NaN,0.886,-0.091,0.856,-0.061,0.886
202209140100,1.08,NaN,-0.061,NaN,1.019,-0.091,0.989,-0.061,1.019
202209140200,1.125,NaN,-0.091,NaN,1.034,-0.091,1.034,-0.061,1.064
202209140300,1.07,NaN,-0.091,NaN,0.979,-0.091,0.979,-0.061,1.009
202209140400,0.939,NaN,-0.061,NaN,0.878,-0.091,0.848,-0.061,0.878
202209140500,0.774,NaN,-0.061,NaN,0.713,-0.091,0.683,-0.061,0.713
202209140600,0.611,NaN,-0.061,NaN,0.55,-0.091,0.52,-0.061,0.55
202209140700,0.476,NaN,-0.061,NaN,0.415,-0.091,0.385,-0.061,0.415
202209140800,0.38,NaN,-0.061,NaN,0.319,-0.091,0.289,-0.061,0.319
202209140900,0.327,NaN,-0.061,NaN,0.266,-0.091,0.236,-0.061,0.266
202209141000,0.327,NaN,-0.061,NaN,0.266,-0.091,0.236,-0.061,0.266
202209141100,0.392,NaN,-0.061,NaN,0.331,-0.091,0.301,-0.061,0.331
202209141200,0.513,NaN,-0.061,NaN,0.452,-0.091,0.422,-0.061,0.452
202209141300,0.645,NaN,-0.061,NaN,0.584,-0.091,0.554,-0.061,0.584
202209141400,0.736,NaN,-0.091,NaN,0.645,-0.091,0.645,-0.061,0.675
202209141500,0.758,NaN,-0.061,NaN,0.697,-0.091,0.667,-0.061,0.697
202209141600,0.727,NaN,-0.061,NaN,0.666,-0.061,0.666,-0.061,0.666
202209141700,0.675,NaN,-0.061,NaN,0.614,-0.061,0.614,-0.061,0.614
202209141800,0.635,NaN,-0.091,NaN,0.544,-0.091,0.544,-0.061,0.574
202209141900,0.628,NaN,-0.061,NaN,0.567,-0.091,0.537,-0.061,0.567
202209142000,0.655,NaN,-0.061,NaN,0.594,-0.091,0.564,-0.061,0.594
202209142100,0.707,NaN,-0.061,NaN,0.646,-0.091,0.616,-0.061,0.646
202209142200,0.775,NaN,-0.061,NaN,0.714,-0.091,0.684,-0.061,0.714
202209142300,0.866,NaN,-0.061,NaN,0.805,-0.091,0.775,-0.061,0.805
202209150000,0.983,NaN,-0.061,NaN,0.922,-0.091,0.892,-0.061,0.922
202209150100,1.096,NaN,-0.061,NaN,1.035,-0.091,1.005,-0.061,1.035
202209150200,1.152,NaN,-0.061,NaN,1.091,-0.091,1.061,-0.061,1.091
202209150300,1.119,NaN,-0.061,NaN,1.058,-0.091,1.028,-0.061,1.058
202209150400,1.002,NaN,-0.03,NaN,0.972,-0.091,0.911,-0.03,0.972
202209150500,0.839,NaN,-0.061,NaN,0.778,-0.091,0.748,-0.03,0.809
202209150600,0.67,NaN,-0.061,NaN,0.609,-0.061,0.609,-0.03,0.64
202209150700,0.526,NaN,-0.03,NaN,0.496,-0.061,0.465,-0.03,0.496
202209150800,0.422,NaN,-0.03,NaN,0.392,-0.061,0.361,-0.03,0.392
202209150900,0.353,NaN,-0.061,NaN,0.292,-0.061,0.292,-0.061,0.292
202209151000,0.309,NaN,-0.091,NaN,0.218,-0.091,0.218,-0.061,0.248
202209151100,0.302,NaN,-0.061,NaN,0.241,-0.091,0.211,-0.061,0.241
202209151200,0.35,NaN,-0.03,NaN,0.32,-0.061,0.289,-0.03,0.32
202209151300,0.444,NaN,-0.03,NaN,0.414,-0.061,0.383,-0.03,0.414
202209151400,0.544,NaN,-0.03,NaN,0.514,-0.061,0.483,-0.03,0.514
202209151500,0.607,NaN,-0.03,NaN,0.577,-0.061,0.546,-0.03,0.577
202209151600,0.625,NaN,-0.03,NaN,0.595,-0.061,0.564,0,0.625
202209151700,0.619,NaN,-0.03,NaN,0.589,-0.061,0.558,0,0.619
202209151800,0.621,NaN,0,NaN,0.621,-0.03,0.591,0,0.621
202209151900,0.654,NaN,0,NaN,0.654,-0.03,0.624,0,0.654
202209152000,0.724,NaN,0,NaN,0.724,-0.03,0.694,0,0.724
202209152100,0.814,NaN,0,NaN,0.814,-0.03,0.784,0,0.814
202209152200,0.897,NaN,0,NaN,0.897,-0.03,0.867,0,0.897
202209152300,0.965,NaN,0,NaN,0.965,0,0.965,0,0.965
202209160000,1.034,NaN,0,NaN,1.034,-0.03,1.004,0,1.034
202209160100,1.109,NaN,0,NaN,1.109,-0.03,1.079,0,1.109
202209160200,1.161,NaN,0,NaN,1.161,-0.03,1.131,0,1.161
202209160300,1.151,NaN,0,NaN,1.151,-0.03,1.121,0,1.151
