DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,0.359,NaN,0.03,NaN,0.39,0,0.359,0.061,0.42
202209140100,0.329,NaN,0.03,NaN,0.36,0,0.329,0.061,0.39
202209140200,0.257,NaN,0,NaN,0.257,0,0.257,0.061,0.318
202209140300,0.163,NaN,0,NaN,0.163,0,0.163,0.03,0.194
202209140400,0.077,NaN,0,NaN,0.077,0,0.077,0.03,0.108
202209140500,0.018,NaN,0,NaN,0.018,0,0.018,0.03,0.048
202209140600,0.003,NaN,0,NaN,0.003,0,0.003,0.03,0.033
202209140700,0.04,NaN,0,NaN,0.04,0,0.04,0.03,0.071
202209140800,0.109,NaN,0,NaN,0.109,0,0.109,0.03,0.14
202209140900,0.186,NaN,0,NaN,0.186,0,0.186,0.03,0.216
202209141000,0.26,NaN,0,NaN,0.26,0,0.26,0.03,0.29
202209141100,0.315,NaN,0,NaN,0.315,0,0.315,0.03,0.345
202209141200,0.328,NaN,0,NaN,0.328,-0.03,0.297,0.03,0.358
202209141300,0.296,NaN,0,NaN,0.296,-0.03,0.265,0.03,0.326
202209141400,0.223,NaN,0,NaN,0.223,-0.03,0.193,0.03,0.254
202209141500,0.124,NaN,0,NaN,0.124,-0.03,0.094,0,0.124
202209141600,0.027,NaN,0,NaN,0.027,0,0.027,0,0.027
202209141700,-0.042,NaN,0,NaN,-0.042,0,-0.042,0,-0.042
202209141800,-0.071,NaN,0,NaN,-0.071,-0.03,-0.102,0,-0.071
202209141900,-0.045,NaN,0,NaN,-0.045,-0.03,-0.075,0,-0.045
202209142000,0.027,NaN,0,NaN,0.027,0,0.027,0,0.027
202209142100,0.118,NaN,0,NaN,0.118,0,0.118,0,0.118
202209142200,0.21,NaN,0,NaN,0.21,0,0.21,0,0.21
202209142300,0.29,NaN,0,NaN,0.29,0,0.29,0,0.29
202209150000,0.338,NaN,0,NaN,0.338,0,0.338,0.03,0.369
202209150100,0.342,NaN,0,NaN,0.342,0,0.342,0.03,0.373
202209150200,0.304,NaN,0,NaN,0.304,0,0.304,0.03,0.335
202209150300,0.23,NaN,0,NaN,0.23,0,0.23,0.03,0.26
202209150400,0.141,NaN,0.03,NaN,0.172,0,0.141,0.03,0.172
202209150500,0.069,NaN,0.03,NaN,0.099,0.03,0.099,0.061,0.13
202209150600,0.025,NaN,0.061,NaN,0.086,0.03,0.055,0.091,0.116
202209150700,0.023,NaN,0.061,NaN,0.084,0.061,0.084,0.091,0.115
202209150800,0.069,NaN,0.091,NaN,0.16,0.061,0.13,0.091,0.16
202209150900,0.137,NaN,0.091,NaN,0.229,0.061,0.198,0.122,0.259
202209151000,0.207,NaN,0.122,NaN,0.329,0.091,0.298,0.122,0.329
202209151100,0.266,NaN,0.122,NaN,0.388,0.091,0.358,0.152,0.419
202209151200,0.302,NaN,0.183,NaN,0.485,0.152,0.455,0.213,0.516
202209151300,0.301,NaN,0.183,NaN,0.484,0.152,0.454,0.213,0.515
202209151400,0.262,NaN,0.183,NaN,0.445,0.152,0.414,0.244,0.506
202209151500,0.187,NaN,0.183,NaN,0.37,0.152,0.34,0.244,0.431
202209151600,0.095,NaN,0.183,NaN,0.278,0.122,0.217,0.213,0.308
202209151700,0.014,NaN,0.183,NaN,0.197,0.152,0.167,0.213,0.228
202209151800,-0.037,NaN,0.213,NaN,0.176,0.183,0.146,0.244,0.207
202209151900,-0.049,NaN,0.213,NaN,0.164,0.183,0.134,0.244,0.194
202209152000,-0.011,NaN,0.213,NaN,0.203,0.152,0.142,0.244,0.233
202209152100,0.066,NaN,0.183,NaN,0.248,0.152,0.218,0.244,0.309
202209152200,0.15,NaN,0.183,NaN,0.333,0.152,0.302,0.213,0.363
202209152300,0.228,NaN,0.183,NaN,0.411,0.122,0.35,0.213,0.441
202209160000,0.29,NaN,0.183,NaN,0.473,0.152,0.443,0.213,0.504
202209160100,0.322,NaN,0.183,NaN,0.505,0.152,0.475,0.213,0.536
202209160200,0.317,NaN,0.152,NaN,0.469,0.122,0.439,0.183,0.5
202209160300,0.274,NaN,0.152,NaN,0.426,0.091,0.365,0.183,0.457
202209160400,0.202,NaN,0.122,NaN,0.324,0.091,0.294,0.183,0.385
202209160500,0.127,NaN,0.122,NaN,0.249,0.061,0.188,0.152,0.28
202209160600,0.071,NaN,0.091,NaN,0.162,0.03,0.101,0.122,0.193
202209160700,0.041,NaN,0.061,NaN,0.102,0.03,0.071,0.122,0.163
202209160800,0.051,NaN,0.061,NaN,0.112,0,0.051,0.122,0.173
202209160900,0.101,NaN,0.061,NaN,0.162,0,0.101,0.122,0.223
202209161000,0.163,NaN,0.03,NaN,0.194,0,0.163,0.091,0.255
202209161100,0.216,NaN,0.03,NaN,0.247,0,0.216,0.091,0.308
202209161200,0.258,NaN,0.03,NaN,0.289,-0.03,0.228,0.061,0.319
202209161300,0.279,NaN,0.03,NaN,0.309,-0.03,0.248,0.061,0.34
202209161400,0.268,NaN,0,NaN,0.268,-0.03,0.238,0.061,0.329
202209161500,0.225,NaN,0,NaN,0.225,-0.03,0.195,0.061,0.286
202209161600,0.155,NaN,0,NaN,0.155,-0.03,0.124,0.03,0.185
202209161700,0.077,NaN,0,NaN,0.077,-0.061,0.016,0.03,0.107
202209161800,0.016,NaN,-0.03,NaN,-0.015,-0.091,-0.076,0,0.016
202209161900,-0.019,NaN,-0.061,NaN,-0.08,-0.091,-0.11,0,-0.019
202209162000,-0.017,NaN,-0.061,NaN,-0.078,-0.152,-0.17,0,-0.017
202209162100,0.03,NaN,-0.061,NaN,-0.031,-0.183,-0.153,0,0.03
202209162200,0.103,NaN,-0.061,NaN,0.042,-0.183,-0.08,0.03,0.134
202209162300,0.173,NaN,0,NaN,0.173,-0.152,0.02,0.091,0.264
202209170000,0.232,NaN,0.152,NaN,0.384,0.03,0.262,0.244,0.476
202209170100,0.279,NaN,0.213,NaN,0.492,0.061,0.34,0.305,0.583
202209170200,0.299,NaN,0.274,NaN,0.573,0.091,0.39,0.366,0.665
202209170300,0.287,NaN,0.366,NaN,0.653,0.183,0.47,0.457,0.744
202209170400,0.244,NaN,0.457,NaN,0.701,0.305,0.549,0.579,0.823
202209170500,0.182,NaN,0.549,NaN,0.731,0.427,0.609,0.671,0.853
202209170600,0.123,NaN,0.61,NaN,0.733,0.518,0.642,0.762,0.885
202209170700,0.081,NaN,0.701,NaN,0.782,0.549,0.63,0.853,0.935
202209170800,0.062,NaN,0.762,NaN,0.824,0.61,0.672,0.945,1.007
202209170900,0.081,NaN,0.823,NaN,0.904,0.671,0.752,1.097,1.178
202209171000,0.129,NaN,0.884,NaN,1.013,0.671,0.8,1.189,1.318
