DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,3.515,NaN,0.427,NaN,3.942,0.305,3.82,0.518,4.033
202209140100,4.136,NaN,0.457,NaN,4.593,0.335,4.471,0.579,4.715
202209140200,4.14,NaN,0.488,NaN,4.628,0.366,4.506,0.61,4.75
202209140300,3.691,NaN,0.518,NaN,4.209,0.396,4.087,0.61,4.301
202209140400,3.084,NaN,0.549,NaN,3.633,0.427,3.511,0.64,3.724
202209140500,2.423,NaN,0.549,NaN,2.972,0.457,2.88,0.64,3.063
202209140600,1.779,NaN,0.61,NaN,2.389,0.488,2.267,0.732,2.511
202209140700,1.215,NaN,0.61,NaN,1.825,0.488,1.703,0.701,1.916
202209140800,0.741,NaN,0.579,NaN,1.32,0.488,1.229,0.701,1.442
202209140900,0.619,NaN,0.549,NaN,1.168,0.488,1.107,0.64,1.259
202209141000,1.164,NaN,0.518,NaN,1.682,0.427,1.591,0.61,1.774
202209141100,2.187,NaN,0.488,NaN,2.675,0.396,2.583,0.579,2.766
202209141200,3.218,NaN,0.366,NaN,3.584,0.274,3.492,0.457,3.675
202209141300,3.909,NaN,0.335,NaN,4.244,0.274,4.183,0.427,4.336
202209141400,4.024,NaN,0.335,NaN,4.359,0.274,4.298,0.396,4.42
202209141500,3.595,NaN,0.335,NaN,3.93,0.244,3.839,0.396,3.991
202209141600,2.932,NaN,0.305,NaN,3.237,0.244,3.176,0.366,3.298
202209141700,2.21,NaN,0.274,NaN,2.484,0.244,2.454,0.335,2.545
202209141800,1.486,NaN,0.244,NaN,1.73,0.213,1.699,0.305,1.791
202209141900,0.857,NaN,0.213,NaN,1.07,0.183,1.04,0.274,1.131
202209142000,0.334,NaN,0.183,NaN,0.517,0.152,0.486,0.244,0.578
202209142100,0.044,NaN,0.152,NaN,0.196,0.122,0.166,0.183,0.227
202209142200,0.368,NaN,0.152,NaN,0.52,0.091,0.459,0.183,0.551
202209142300,1.367,NaN,0.122,NaN,1.489,0.061,1.428,0.152,1.519
202209150000,2.604,NaN,0.122,NaN,2.726,0.091,2.695,0.152,2.756
