DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,5.645,5.698,0,0.054,5.698,-0.03,5.668,0,5.698
202209140100,6.189,6.237,0,0.048,6.237,-0.03,6.207,0,6.237
202209140200,5.953,5.993,0,0.04,5.993,0,5.993,0,5.993
202209140300,4.983,5.03,0,0.047,5.03,0,5.03,0,5.03
202209140400,3.499,3.544,0,0.045,3.544,0,3.544,0,3.544
202209140500,1.845,1.868,0,0.023,1.868,0,1.868,0,1.868
202209140600,0.426,0.384,0,-0.042,0.384,0,0.384,0.03,0.414
202209140700,-0.359,-0.411,0,-0.052,-0.411,0,-0.411,0.03,-0.38
202209140800,-0.284,-0.265,0,0.019,-0.265,0,-0.265,0.03,-0.234
202209140900,0.557,0.567,0.03,-0.021,0.567,0,0.536,0.061,0.597
202209141000,1.873,1.828,0.03,-0.075,1.828,0,1.798,0.061,1.859
202209141100,3.347,3.315,0.03,-0.062,3.315,0,3.285,0.061,3.345
202209141200,4.647,4.644,0.061,-0.064,4.644,0.03,4.613,0.091,4.674
202209141300,5.454,5.421,0.061,-0.094,5.421,0.03,5.39,0.091,5.451
202209141400,5.578,5.525,0.061,-0.115,5.525,0.03,5.494,0.061,5.525
202209141500,5.005,4.961,0.03,-0.075,4.961,0.03,4.961,0.061,4.991
202209141600,3.89,3.836,0.03,-0.084,3.836,0.03,3.836,0.03,3.836
202209141700,2.525,2.459,0.03,-0.096,2.459,0,2.429,0.03,2.459
202209141800,1.266,1.195,0,-0.072,1.195,0,1.195,0,1.195
202209141900,0.479,0.405,0,-0.075,0.405,0,0.405,0,0.405
202209142000,0.434,0.424,0,-0.011,0.424,0,0.424,0,0.424
202209142100,1.129,1.17,0,0.041,1.17,0,1.17,0.03,1.2
202209142200,2.305,2.331,0,0.027,2.331,0,2.331,0.03,2.362
202209142300,3.65,3.632,0,-0.018,3.632,0,3.632,0.03,3.662
202209150000,4.869,4.848,0,-0.022,4.848,0,4.848,0,4.848
202209150100,5.664,5.653,0,-0.012,5.653,0,5.653,0.03,5.683
202209150200,5.825,5.801,0,-0.024,5.801,0,5.801,0.03,5.832
202209150300,5.307,5.242,0,-0.065,5.242,0,5.242,0,5.242
202209150400,4.225,4.16,0,-0.065,4.16,0,4.16,0,4.16
202209150500,2.83,2.785,0,-0.045,2.785,-0.03,2.755,0,2.785
202209150600,1.44,1.352,0,-0.088,1.352,0,1.352,0,1.352
202209150700,0.384,0.283,0,-0.101,0.283,0,0.283,0,0.283
202209150800,-0.048,-0.104,0,-0.056,-0.104,0,-0.104,0,-0.104
202209150900,0.255,0.256,0,0.001,0.256,0,0.256,0,0.256
202209151000,1.13,1.073,0,-0.057,1.073,0,1.073,0,1.073
202209151100,2.302,2.175,0,-0.127,2.175,0,2.175,0,2.175
202209151200,3.516,3.394,0,-0.122,3.394,0,3.394,0,3.394
202209151300,4.503,4.391,0,-0.112,4.391,0,4.391,0,4.391
202209151400,5.02,4.864,0,-0.156,4.864,0,4.864,0,4.864
202209151500,4.953,4.778,0,-0.175,4.778,-0.03,4.747,0,4.778
202209151600,4.343,4.169,-0.03,-0.144,4.169,-0.03,4.169,0,4.199
202209151700,3.373,3.227,-0.03,-0.116,3.227,-0.03,3.227,0,3.257
202209151800,2.311,2.191,-0.061,-0.059,2.191,-0.061,2.191,-0.03,2.222
202209151900,1.442,1.329,-0.03,-0.083,1.329,-0.061,1.298,-0.03,1.329
202209152000,1.034,0.942,-0.03,-0.062,0.942,-0.03,0.942,-0.03,0.942
202209152100,1.252,1.268,0,0.016,1.268,-0.03,1.237,0,1.268
202209152200,2.008,2.072,0,0.064,2.072,-0.03,2.042,0,2.072
202209152300,3.042,3.044,0,0.002,3.044,-0.03,3.014,0,3.044
202209160000,4.098,4.025,-0.03,-0.043,4.025,-0.061,3.994,-0.03,4.025
202209160100,4.949,4.858,-0.061,-0.03,4.858,-0.061,4.858,-0.03,4.888
202209160200,5.374,5.286,-0.061,-0.027,5.286,-0.091,5.256,-0.061,5.286
202209160300,5.247,5.14,-0.091,-0.015,5.14,-0.091,5.14,-0.061,5.171
202209160400,4.593,4.477,-0.091,-0.025,4.477,-0.122,4.446,-0.061,4.507
202209160500,3.564,3.526,-0.091,0.053,3.526,-0.122,3.495,-0.061,3.556
202209160600,2.397,2.386,-0.091,0.08,2.386,-0.122,2.356,-0.061,2.417
202209160700,1.342,1.294,-0.091,0.044,1.294,-0.122,1.264,-0.061,1.325
202209160800,0.632,0.604,-0.091,0.063,0.604,-0.122,0.573,-0.061,0.634
202209160900,0.458,0.488,-0.091,0.121,0.488,-0.122,0.457,-0.061,0.518
202209161000,0.847,0.86,-0.091,0.104,0.86,-0.091,0.86,-0.061,0.89
202209161100,1.618,1.538,-0.091,0.012,1.538,-0.091,1.538,-0.061,1.569
202209161200,2.551,2.395,-0.061,-0.095,2.395,-0.091,2.365,-0.03,2.426
202209161300,3.466,3.318,-0.061,-0.087,3.318,-0.091,3.288,-0.03,3.349
202209161400,4.166,4.01,-0.091,-0.064,4.01,-0.091,4.01,-0.061,4.04
202209161500,4.475,4.281,-0.091,-0.103,4.281,-0.091,4.281,-0.061,4.311
202209161600,4.337,4.23,-0.091,-0.016,4.23,-0.122,4.199,-0.091,4.23
202209161700,3.822,3.666,-0.091,-0.065,3.666,-0.122,3.635,-0.091,3.666
202209161800,3.099,2.98,-0.122,0.003,2.98,-0.122,2.98,-0.091,3.011
202209161900,2.376,2.276,-0.091,-0.009,2.276,-0.122,2.246,-0.061,2.307
202209162000,1.851,1.77,-0.061,-0.02,1.77,-0.091,1.74,-0.061,1.77
202209162100,1.705,1.63,-0.061,-0.014,1.63,-0.061,1.63,-0.03,1.661
202209162200,2.025,2.008,-0.061,0.044,2.008,-0.061,2.008,-0.03,2.039
202209162300,2.692,2.642,-0.061,0.011,2.642,-0.091,2.612,-0.061,2.642
202209170000,3.48,3.343,-0.122,-0.015,3.343,-0.152,3.313,-0.122,3.343
202209170100,4.213,4.025,-0.152,-0.036,4.025,-0.152,4.025,-0.122,4.055
