DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,0.686,NaN,0,NaN,0.686,-0.061,0.625,0.03,0.717
202209140100,0.566,NaN,-0.03,NaN,0.536,-0.061,0.505,0.03,0.597
202209140200,0.426,NaN,-0.03,NaN,0.396,-0.061,0.365,0.03,0.457
202209140300,0.3,NaN,-0.03,NaN,0.27,-0.061,0.239,0,0.3
202209140400,0.217,NaN,-0.03,NaN,0.187,-0.061,0.156,0,0.217
202209140500,0.2,NaN,-0.03,NaN,0.169,-0.061,0.139,0,0.2
202209140600,0.252,NaN,-0.03,NaN,0.221,-0.061,0.191,0,0.252
202209140700,0.356,NaN,-0.03,NaN,0.326,-0.061,0.295,0,0.356
202209140800,0.497,NaN,-0.03,NaN,0.466,-0.061,0.436,0,0.497
202209140900,0.649,NaN,-0.03,NaN,0.618,-0.061,0.588,0,0.649
202209141000,0.774,NaN,-0.03,NaN,0.743,-0.091,0.682,0,0.774
202209141100,0.839,NaN,-0.03,NaN,0.809,-0.091,0.748,0,0.839
202209141200,0.833,NaN,-0.061,NaN,0.772,-0.091,0.741,0,0.833
202209141300,0.756,NaN,-0.061,NaN,0.695,-0.091,0.664,0,0.756
202209141400,0.63,NaN,-0.061,NaN,0.569,-0.091,0.539,0,0.63
202209141500,0.491,NaN,-0.061,NaN,0.43,-0.091,0.4,0,0.491
202209141600,0.369,NaN,-0.061,NaN,0.308,-0.091,0.277,0,0.369
202209141700,0.288,NaN,-0.061,NaN,0.227,-0.091,0.196,0,0.288
202209141800,0.266,NaN,-0.061,NaN,0.205,-0.091,0.175,-0.03,0.236
202209141900,0.298,NaN,-0.061,NaN,0.237,-0.091,0.206,0,0.298
202209142000,0.369,NaN,-0.061,NaN,0.308,-0.091,0.277,0,0.369
202209142100,0.464,NaN,-0.061,NaN,0.403,-0.091,0.372,0,0.464
202209142200,0.555,NaN,-0.03,NaN,0.525,-0.061,0.494,0,0.555
202209142300,0.61,NaN,-0.03,NaN,0.58,-0.061,0.549,0,0.61
202209150000,0.612,NaN,-0.03,NaN,0.582,-0.061,0.551,0,0.612
202209150100,0.56,NaN,-0.03,NaN,0.529,-0.03,0.529,0,0.56
202209150200,0.468,NaN,-0.03,NaN,0.438,-0.03,0.438,0,0.468
202209150300,0.371,NaN,0,NaN,0.371,-0.03,0.341,0,0.371
202209150400,0.297,NaN,0,NaN,0.297,-0.03,0.267,0,0.297
202209150500,0.269,NaN,0,NaN,0.269,0,0.269,0,0.269
202209150600,0.303,NaN,0,NaN,0.303,0,0.303,0.03,0.334
202209150700,0.4,NaN,0,NaN,0.4,0,0.4,0.03,0.43
202209150800,0.536,NaN,0,NaN,0.536,0,0.536,0.03,0.566
202209150900,0.692,NaN,0,NaN,0.692,0,0.692,0.03,0.722
202209151000,0.84,NaN,0,NaN,0.84,0,0.84,0.03,0.87
202209151100,0.943,NaN,0,NaN,0.943,-0.03,0.913,0.03,0.974
202209151200,0.974,NaN,0.03,NaN,1.004,0,0.974,0.061,1.034
202209151300,0.921,NaN,0.03,NaN,0.952,-0.03,0.891,0.061,0.982
202209151400,0.796,NaN,0.03,NaN,0.827,-0.03,0.766,0.061,0.857
202209151500,0.631,NaN,0.03,NaN,0.661,-0.03,0.6,0.091,0.722
202209151600,0.458,NaN,0.03,NaN,0.489,-0.03,0.428,0.091,0.55
202209151700,0.307,NaN,0.061,NaN,0.368,0,0.307,0.122,0.429
202209151800,0.204,NaN,0.091,NaN,0.295,0,0.204,0.152,0.356
202209151900,0.167,NaN,0.091,NaN,0.259,0,0.167,0.183,0.35
202209152000,0.188,NaN,0.122,NaN,0.31,0.03,0.218,0.183,0.371
202209152100,0.249,NaN,0.122,NaN,0.371,0.03,0.279,0.183,0.432
202209152200,0.336,NaN,0.122,NaN,0.458,0.03,0.367,0.213,0.55
202209152300,0.424,NaN,0.152,NaN,0.576,0.03,0.454,0.244,0.668
202209160000,0.48,NaN,0.152,NaN,0.633,0.091,0.572,0.244,0.724
202209160100,0.49,NaN,0.183,NaN,0.673,0.091,0.581,0.244,0.734
202209160200,0.455,NaN,0.183,NaN,0.638,0.091,0.547,0.244,0.699
202209160300,0.398,NaN,0.183,NaN,0.581,0.122,0.52,0.244,0.642
202209160400,0.348,NaN,0.183,NaN,0.531,0.122,0.47,0.274,0.622
202209160500,0.323,NaN,0.183,NaN,0.506,0.122,0.445,0.274,0.598
202209160600,0.344,NaN,0.152,NaN,0.496,0.061,0.405,0.244,0.588
202209160700,0.424,NaN,0.152,NaN,0.577,0.061,0.485,0.244,0.668
202209160800,0.555,NaN,0.152,NaN,0.707,0.061,0.616,0.244,0.799
202209160900,0.707,NaN,0.122,NaN,0.829,0.03,0.738,0.213,0.92
202209161000,0.862,NaN,0.122,NaN,0.984,0.03,0.892,0.213,1.075
202209161100,0.993,NaN,0.091,NaN,1.084,0,0.993,0.213,1.206
202209161200,1.064,NaN,0.03,NaN,1.095,0,1.064,0.122,1.186
202209161300,1.052,NaN,0.03,NaN,1.083,-0.03,1.022,0.122,1.174
202209161400,0.956,NaN,0.03,NaN,0.986,-0.03,0.925,0.091,1.047
202209161500,0.794,NaN,0,NaN,0.794,-0.061,0.733,0.061,0.855
202209161600,0.602,NaN,0,NaN,0.602,-0.061,0.541,0.061,0.663
202209161700,0.408,NaN,-0.03,NaN,0.378,-0.061,0.347,0.03,0.439
202209161800,0.241,NaN,-0.122,NaN,0.119,-0.213,0.028,0,0.241
202209161900,0.131,NaN,-0.183,NaN,-0.052,-0.274,-0.143,-0.061,0.07
202209162000,0.091,NaN,-0.244,NaN,-0.153,-0.305,-0.214,-0.122,-0.031
202209162100,0.103,NaN,-0.305,NaN,-0.201,-0.366,-0.262,-0.183,-0.08
202209162200,0.157,NaN,-0.335,NaN,-0.179,-0.396,-0.24,-0.244,-0.087
202209162300,0.239,NaN,-0.305,NaN,-0.066,-0.396,-0.158,-0.244,-0.005
202209170000,0.322,NaN,-0.03,NaN,0.291,-0.213,0.108,0.183,0.504
202209170100,0.376,NaN,0.061,NaN,0.437,-0.091,0.284,0.274,0.65
202209170200,0.393,NaN,0.183,NaN,0.576,0,0.393,0.396,0.789
202209170300,0.381,NaN,0.335,NaN,0.716,0.183,0.564,0.549,0.929
202209170400,0.36,NaN,0.488,NaN,0.848,0.335,0.696,0.732,1.092
202209170500,0.351,NaN,0.671,NaN,1.022,0.488,0.839,0.884,1.235
202209170600,0.371,NaN,0.853,NaN,1.224,0.701,1.072,1.036,1.407
202209170700,0.435,NaN,1.006,NaN,1.44,0.792,1.227,1.189,1.623
202209170800,0.551,NaN,1.189,NaN,1.739,0.853,1.404,1.433,1.983
202209170900,0.699,NaN,1.433,NaN,2.131,0.945,1.643,1.646,2.345
202209171000,0.852,NaN,1.707,NaN,2.558,1.097,1.949,1.981,2.833
202209171100,0.993,NaN,1.981,NaN,2.975,1.28,2.274,2.316,3.31
202209171200,1.097,NaN,2.316,NaN,3.414,1.981,3.078,2.591,3.688
202209171300,1.13,NaN,2.652,NaN,3.782,2.286,3.416,2.896,4.025
202209171400,1.077,NaN,2.957,NaN,4.034,2.53,3.607,3.231,4.308
202209171500,0.948,NaN,3.261,NaN,4.209,2.713,3.66,3.566,4.514
202209171600,0.764,NaN,3.536,NaN,4.3,2.896,3.659,3.901,4.665
202209171700,0.556,NaN,3.81,NaN,4.366,3.109,3.665,4.237,4.793
202209171800,0.353,NaN,3.901,NaN,4.255,3.261,3.615,4.267,4.62
202209171900,0.186,NaN,4.084,NaN,4.27,3.444,3.63,4.45,4.636
202209172000,0.08,NaN,4.206,NaN,4.287,3.597,3.677,4.572,4.652
202209172100,0.039,NaN,4.328,NaN,4.367,3.719,3.757,4.694,4.733
202209172200,0.046,NaN,4.389,NaN,4.435,3.81,3.856,4.816,4.862
202209172300,0.094,NaN,4.42,NaN,4.513,3.901,3.995,4.846,4.94
202209180000,0.169,NaN,4.267,NaN,4.437,3.719,3.888,4.602,4.772
202209180100,0.244,NaN,4.237,NaN,4.481,3.688,3.933,4.542,4.786
202209180200,0.297,NaN,4.206,NaN,4.503,3.688,3.985,4.481,4.777
202209180300,0.325,NaN,4.145,NaN,4.47,3.719,4.043,4.42,4.745
202209180400,0.337,NaN,4.084,NaN,4.421,3.749,4.086,4.359,4.696
202209180500,0.348,NaN,4.023,NaN,4.371,3.719,4.067,4.267,4.615
202209180600,0.375,NaN,3.78,NaN,4.154,3.536,3.911,3.993,4.368
202209180700,0.432,NaN,3.688,NaN,4.12,3.444,3.876,3.871,4.303
202209180800,0.53,NaN,3.566,NaN,4.096,3.353,3.883,3.749,4.279
202209180900,0.666,NaN,3.475,NaN,4.141,3.231,3.897,3.597,4.263
202209181000,0.817,NaN,3.353,NaN,4.17,3.109,3.926,3.505,4.322
202209181100,0.96,NaN,3.231,NaN,4.191,3.018,3.978,3.414,4.374
202209181200,1.08,NaN,3.048,NaN,4.128,2.804,3.884,3.292,4.372
202209181300,1.151,NaN,2.926,NaN,4.077,2.682,3.833,3.139,4.29
202209181400,1.147,NaN,2.804,NaN,3.951,2.591,3.737,3.018,4.164
202209181500,1.064,NaN,2.682,NaN,3.746,2.499,3.563,2.865,3.929
202209181600,0.914,NaN,2.56,NaN,3.475,2.377,3.292,2.713,3.627
