DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,3.487,3.519,0,0.032,3.519,0,3.519,0,3.519
202209140100,3.259,3.27,0,0.011,3.27,0,3.27,0,3.27
202209140200,2.675,2.696,0,0.021,2.696,-0.03,2.666,0,2.696
202209140300,1.858,1.846,0,-0.011,1.846,-0.03,1.816,0,1.846
202209140400,0.991,0.96,0,-0.031,0.96,-0.03,0.929,0,0.96
202209140500,0.297,0.29,0,-0.007,0.29,-0.03,0.259,0,0.29
202209140600,-0.038,-0.064,0,-0.026,-0.064,0,-0.064,0,-0.064
202209140700,0.054,0.006,0,-0.048,0.006,0,0.006,0.03,0.036
202209140800,0.522,0.479,0.03,-0.073,0.479,0,0.448,0.061,0.509
202209140900,1.23,1.18,0.03,-0.081,1.18,0,1.149,0.061,1.21
202209141000,1.996,1.956,0.03,-0.071,1.956,0,1.926,0.03,1.956
202209141100,2.622,2.578,0.03,-0.075,2.578,0,2.548,0.061,2.609
202209141200,2.954,2.919,0.061,-0.096,2.919,0.03,2.889,0.061,2.919
202209141300,2.932,2.852,0.03,-0.111,2.852,0.03,2.852,0.061,2.882
202209141400,2.587,2.498,0.03,-0.119,2.498,0,2.468,0.03,2.498
202209141500,2.008,1.916,0.03,-0.122,1.916,0,1.886,0.03,1.916
202209141600,1.337,1.244,0.03,-0.124,1.244,0,1.213,0.03,1.244
202209141700,0.761,0.686,0,-0.075,0.686,0,0.686,0.03,0.716
202209141800,0.461,0.402,0,-0.06,0.402,0,0.402,0,0.402
202209141900,0.535,0.494,0,-0.041,0.494,0,0.494,0,0.494
202209142000,0.957,0.933,0,-0.024,0.933,0,0.933,0,0.933
202209142100,1.616,1.584,0,-0.031,1.584,0,1.584,0,1.584
202209142200,2.35,2.334,0,-0.016,2.334,0,2.334,0.03,2.365
202209142300,2.975,2.971,0,-0.004,2.971,0,2.971,0.03,3.002
202209150000,3.328,3.297,0,-0.031,3.297,0,3.297,0,3.297
202209150100,3.322,3.266,0,-0.056,3.266,0,3.266,0,3.266
202209150200,2.966,2.91,0,-0.056,2.91,0,2.91,0,2.91
202209150300,2.339,2.248,0,-0.091,2.248,0,2.248,0,2.248
202209150400,1.565,1.462,0,-0.103,1.462,-0.03,1.432,0,1.462
202209150500,0.816,0.732,0,-0.085,0.732,-0.03,0.701,0,0.732
202209150600,0.282,0.204,0,-0.078,0.204,0,0.204,0,0.204
202209150700,0.095,0.003,0,-0.092,0.003,0,0.003,0,0.003
202209150800,0.277,0.162,0,-0.115,0.162,0,0.162,0,0.162
202209150900,0.75,0.628,0,-0.122,0.628,0,0.628,0,0.628
202209151000,1.38,1.244,0,-0.136,1.244,-0.03,1.213,0,1.244
202209151100,2.008,1.855,0,-0.153,1.855,-0.03,1.825,0,1.855
202209151200,2.477,2.349,0,-0.128,2.349,0,2.349,0,2.349
202209151300,2.679,2.541,0,-0.138,2.541,-0.03,2.511,0,2.541
202209151400,2.594,2.422,-0.03,-0.141,2.422,-0.03,2.422,0,2.453
202209151500,2.27,2.117,-0.03,-0.122,2.117,-0.03,2.117,0,2.148
202209151600,1.795,1.63,-0.03,-0.134,1.63,-0.03,1.63,0,1.661
202209151700,1.294,1.131,-0.03,-0.133,1.131,-0.03,1.131,0,1.161
202209151800,0.92,0.774,-0.061,-0.086,0.774,-0.061,0.774,-0.061,0.774
202209151900,0.807,0.722,-0.061,-0.024,0.722,-0.061,0.722,-0.03,0.752
202209152000,0.999,0.933,-0.03,-0.035,0.933,-0.061,0.902,-0.03,0.933
202209152100,1.44,1.366,-0.03,-0.044,1.366,-0.061,1.335,-0.03,1.366
202209152200,2.018,1.959,-0.061,0.002,1.959,-0.061,1.959,-0.03,1.99
202209152300,2.595,2.572,-0.03,0.008,2.572,-0.03,2.572,0,2.603
202209160000,3.026,2.98,-0.061,0.015,2.98,-0.091,2.95,-0.061,2.98
202209160100,3.195,3.129,-0.091,0.026,3.129,-0.122,3.099,-0.061,3.16
202209160200,3.058,2.962,-0.091,-0.004,2.962,-0.122,2.932,-0.061,2.993
202209160300,2.651,2.544,-0.091,-0.015,2.544,-0.122,2.514,-0.091,2.544
202209160400,2.055,2.008,-0.091,0.045,2.008,-0.122,1.978,-0.091,2.008
202209160500,1.383,1.313,-0.122,0.052,1.313,-0.122,1.313,-0.091,1.344
202209160600,0.78,0.713,-0.091,0.024,0.713,-0.152,0.652,-0.061,0.743
202209160700,0.394,0.335,-0.091,0.032,0.335,-0.122,0.304,-0.061,0.365
202209160800,0.312,0.262,-0.091,0.041,0.262,-0.122,0.231,-0.091,0.262
202209160900,0.521,0.424,-0.091,-0.006,0.424,-0.122,0.393,-0.091,0.424
202209161000,0.936,0.814,-0.122,-0.001,0.814,-0.122,0.814,-0.091,0.844
202209161100,1.447,1.313,-0.091,-0.042,1.313,-0.122,1.283,-0.091,1.313
202209161200,1.928,1.773,-0.091,-0.063,1.773,-0.091,1.773,-0.091,1.773
202209161300,2.264,2.09,-0.122,-0.052,2.09,-0.122,2.09,-0.091,2.121
202209161400,2.387,2.206,-0.122,-0.059,2.206,-0.152,2.176,-0.091,2.237
202209161500,2.299,2.13,-0.091,-0.077,2.13,-0.122,2.1,-0.091,2.13
202209161600,2.049,1.928,-0.091,-0.03,1.928,-0.122,1.898,-0.091,1.928
202209161700,1.711,1.558,-0.122,-0.032,1.558,-0.152,1.527,-0.091,1.588
202209161800,1.381,1.201,-0.122,-0.059,1.201,-0.152,1.17,-0.091,1.231
202209161900,1.176,1.045,-0.122,-0.009,1.045,-0.122,1.045,-0.091,1.075
202209162000,1.184,1.058,-0.091,-0.034,1.058,-0.122,1.027,-0.091,1.058
202209162100,1.413,1.277,-0.091,-0.045,1.277,-0.122,1.246,-0.091,1.277
202209162200,1.799,1.587,-0.122,-0.089,1.587,-0.122,1.587,-0.091,1.618
202209162300,2.248,2.145,-0.122,0.02,2.145,-0.152,2.115,-0.091,2.176
202209170000,2.658,2.529,-0.152,0.024,2.529,-0.183,2.499,-0.152,2.529
202209170100,2.925,2.727,-0.183,-0.015,2.727,-0.183,2.727,-0.152,2.758
202209170200,2.971,2.824,-0.183,0.036,2.824,-0.183,2.824,-0.152,2.854
202209170300,2.78,2.614,-0.152,-0.013,2.614,-0.183,2.584,-0.152,2.614
202209170400,2.394,2.282,-0.183,0.071,2.282,-0.183,2.282,-0.152,2.313
202209170500,1.883,1.739,-0.183,0.04,1.739,-0.213,1.709,-0.183,1.739
202209170600,1.334,1.155,-0.183,0.003,1.155,-0.183,1.155,-0.152,1.185
202209170700,0.863,0.704,-0.183,0.023,0.704,-0.183,0.704,-0.152,0.734
202209170800,0.582,0.442,-0.152,0.012,0.442,-0.183,0.411,-0.152,0.442
202209170900,0.541,0.378,-0.152,-0.011,0.378,-0.183,0.347,-0.122,0.408
