DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,0.303,NaN,0,NaN,0.303,0,0.303,0.03,0.333
202209140100,0.232,NaN,0,NaN,0.232,0,0.232,0.03,0.262
202209140200,0.137,NaN,0,NaN,0.137,0,0.137,0.03,0.167
202209140300,0.056,NaN,0,NaN,0.056,-0.03,0.026,0,0.056
202209140400,0.022,NaN,0,NaN,0.022,-0.03,-0.00800000000000003,0,0.022
202209140500,0.045,NaN,0,NaN,0.045,-0.03,0.015,0,0.045
202209140600,0.12,NaN,0,NaN,0.12,-0.03,0.09,0,0.12
202209140700,0.212,NaN,0,NaN,0.212,-0.03,0.182,0,0.212
202209140800,0.282,NaN,0,NaN,0.282,-0.03,0.252,0,0.282
202209140900,0.317,NaN,-0.03,NaN,0.287,-0.03,0.287,0,0.317
202209141000,0.324,NaN,-0.03,NaN,0.294,-0.061,0.263,0,0.324
202209141100,0.31,NaN,-0.03,NaN,0.28,-0.061,0.249,0,0.31
202209141200,0.273,NaN,-0.03,NaN,0.243,-0.061,0.212,0,0.273
202209141300,0.205,NaN,-0.03,NaN,0.175,-0.061,0.144,0,0.205
202209141400,0.109,NaN,-0.03,NaN,0.079,-0.061,0.048,0,0.109
202209141500,0.019,NaN,-0.03,NaN,-0.011,-0.061,-0.042,0,0.019
202209141600,-0.032,NaN,-0.03,NaN,-0.062,-0.061,-0.093,0,-0.032
202209141700,-0.026,NaN,-0.03,NaN,-0.056,-0.061,-0.087,0,-0.026
202209141800,0.041,NaN,-0.03,NaN,0.011,-0.061,-0.02,0,0.041
202209141900,0.146,NaN,-0.03,NaN,0.116,-0.061,0.085,0,0.146
202209142000,0.245,NaN,-0.03,NaN,0.215,-0.061,0.184,0,0.245
202209142100,0.311,NaN,-0.03,NaN,0.281,-0.061,0.25,0,0.311
202209142200,0.344,NaN,-0.03,NaN,0.314,-0.03,0.314,0,0.344
202209142300,0.349,NaN,-0.03,NaN,0.319,-0.03,0.319,0,0.349
202209150000,0.33,NaN,0,NaN,0.33,-0.03,0.3,0,0.33
202209150100,0.282,NaN,0,NaN,0.282,-0.03,0.252,0,0.282
202209150200,0.201,NaN,0,NaN,0.201,0,0.201,0,0.201
202209150300,0.108,NaN,0,NaN,0.108,0,0.108,0.03,0.138
202209150400,0.038,NaN,0.03,NaN,0.068,0,0.038,0.03,0.068
202209150500,0.013,NaN,0.03,NaN,0.043,0,0.013,0.061,0.074
202209150600,0.047,NaN,0.061,NaN,0.108,0.03,0.077,0.091,0.138
202209150700,0.131,NaN,0.091,NaN,0.222,0.061,0.192,0.091,0.222
202209150800,0.226,NaN,0.122,NaN,0.348,0.061,0.287,0.152,0.378
202209150900,0.292,NaN,0.122,NaN,0.414,0.091,0.383,0.183,0.475
202209151000,0.323,NaN,0.152,NaN,0.475,0.122,0.445,0.213,0.536
202209151100,0.324,NaN,0.183,NaN,0.507,0.152,0.476,0.244,0.568
202209151200,0.301,NaN,0.213,NaN,0.514,0.152,0.453,0.274,0.575
202209151300,0.255,NaN,0.213,NaN,0.468,0.152,0.407,0.244,0.499
202209151400,0.182,NaN,0.213,NaN,0.395,0.152,0.334,0.244,0.426
202209151500,0.094,NaN,0.183,NaN,0.277,0.152,0.246,0.244,0.338
202209151600,0.016,NaN,0.213,NaN,0.229,0.152,0.168,0.244,0.26
202209151700,-0.023,NaN,0.213,NaN,0.19,0.152,0.129,0.244,0.221
