DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,-0.018,NaN,0.03,NaN,0.012,-0.03,-0.049,0.061,0.043
202209140100,0.123,NaN,0.03,NaN,0.153,0,0.123,0.061,0.184
202209140200,0.297,NaN,0.03,NaN,0.327,0,0.297,0.061,0.358
202209140300,0.467,NaN,0,NaN,0.467,0,0.467,0.061,0.528
202209140400,0.595,NaN,0,NaN,0.595,-0.03,0.564,0.061,0.656
202209140500,0.65,NaN,0,NaN,0.65,-0.03,0.619,0.061,0.71
202209140600,0.624,NaN,0,NaN,0.624,0,0.624,0.061,0.685
202209140700,0.529,NaN,0,NaN,0.529,0,0.529,0.061,0.59
202209140800,0.389,NaN,0,NaN,0.389,0,0.389,0.061,0.45
202209140900,0.24,NaN,0,NaN,0.24,0,0.24,0.03,0.271
202209141000,0.118,NaN,0,NaN,0.118,0,0.118,0.03,0.148
202209141100,0.051,NaN,0,NaN,0.051,0,0.051,0.03,0.082
202209141200,0.062,NaN,0,NaN,0.062,-0.03,0.031,0.03,0.092
202209141300,0.143,NaN,0,NaN,0.143,-0.03,0.113,0.03,0.174
202209141400,0.265,NaN,0,NaN,0.265,-0.03,0.235,0,0.265
202209141500,0.396,NaN,0,NaN,0.396,-0.03,0.365,0,0.396
202209141600,0.498,NaN,0,NaN,0.498,-0.03,0.468,0.03,0.529
202209141700,0.539,NaN,0,NaN,0.539,-0.03,0.509,0.03,0.57
202209141800,0.51,NaN,-0.03,NaN,0.479,-0.03,0.479,0,0.51
202209141900,0.417,NaN,0,NaN,0.417,-0.03,0.387,0,0.417
202209142000,0.28,NaN,0,NaN,0.28,-0.03,0.249,0,0.28
202209142100,0.129,NaN,0,NaN,0.129,-0.03,0.098,0,0.129
202209142200,0.003,NaN,0,NaN,0.003,-0.03,-0.027,0,0.003
202209142300,-0.067,NaN,0,NaN,-0.067,-0.03,-0.098,0,-0.067
202209150000,-0.06,NaN,0,NaN,-0.06,-0.03,-0.091,0,-0.06
202209150100,0.029,NaN,0,NaN,0.029,-0.03,-0.002,0,0.029
202209150200,0.176,NaN,0,NaN,0.176,0,0.176,0,0.176
202209150300,0.344,NaN,0,NaN,0.344,0,0.344,0,0.344
202209150400,0.497,NaN,0,NaN,0.497,0,0.497,0,0.497
202209150500,0.598,NaN,0,NaN,0.598,0,0.598,0,0.598
202209150600,0.626,NaN,0,NaN,0.626,0,0.626,0.03,0.657
202209150700,0.584,NaN,0,NaN,0.584,0,0.584,0.03,0.615
202209150800,0.483,NaN,0,NaN,0.483,0,0.483,0.03,0.513
202209150900,0.345,NaN,0,NaN,0.345,0,0.345,0.03,0.375
202209151000,0.208,NaN,0,NaN,0.208,0,0.208,0.03,0.238
202209151100,0.104,NaN,0.03,NaN,0.135,0,0.104,0.03,0.135
202209151200,0.059,NaN,0.061,NaN,0.12,0.03,0.09,0.091,0.151
202209151300,0.087,NaN,0.061,NaN,0.148,0.061,0.148,0.091,0.179
202209151400,0.177,NaN,0.091,NaN,0.269,0.061,0.238,0.122,0.299
202209151500,0.297,NaN,0.091,NaN,0.389,0.061,0.358,0.122,0.419
202209151600,0.415,NaN,0.091,NaN,0.506,0.061,0.475,0.122,0.536
202209151700,0.494,NaN,0.091,NaN,0.586,0.061,0.555,0.152,0.646
202209151800,0.514,NaN,0.152,NaN,0.666,0.122,0.636,0.183,0.696
202209151900,0.473,NaN,0.152,NaN,0.625,0.091,0.564,0.183,0.656
