DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,3.8,NaN,0.335,NaN,4.135,0.244,4.044,0.396,4.196
202209140100,4.718,NaN,0.335,NaN,5.053,0.274,4.992,0.427,5.144
202209140200,5.187,NaN,0.366,NaN,5.553,0.305,5.492,0.457,5.645
202209140300,5.135,NaN,0.396,NaN,5.531,0.335,5.47,0.488,5.622
202209140400,4.566,NaN,0.427,NaN,4.992,0.335,4.901,0.518,5.084
202209140500,3.618,NaN,0.457,NaN,4.075,0.366,3.983,0.549,4.166
202209140600,2.545,NaN,0.488,NaN,3.033,0.396,2.941,0.579,3.124
202209140700,1.611,NaN,0.488,NaN,2.099,0.396,2.007,0.579,2.19
202209140800,1.043,NaN,0.457,NaN,1.5,0.396,1.439,0.549,1.592
202209140900,1.011,NaN,0.427,NaN,1.438,0.366,1.377,0.518,1.529
202209141000,1.536,NaN,0.396,NaN,1.932,0.335,1.871,0.457,1.993
202209141100,2.452,NaN,0.366,NaN,2.818,0.305,2.757,0.427,2.879
202209141200,3.485,NaN,0.274,NaN,3.759,0.213,3.698,0.335,3.82
202209141300,4.344,NaN,0.244,NaN,4.588,0.183,4.527,0.305,4.649
202209141400,4.814,NaN,0.244,NaN,5.058,0.183,4.997,0.274,5.088
202209141500,4.796,NaN,0.213,NaN,5.009,0.152,4.948,0.274,5.07
202209141600,4.268,NaN,0.213,NaN,4.482,0.152,4.421,0.274,4.543
202209141700,3.317,NaN,0.213,NaN,3.53,0.152,3.47,0.244,3.561
202209141800,2.167,NaN,0.183,NaN,2.35,0.122,2.289,0.213,2.38
202209141900,1.095,NaN,0.152,NaN,1.247,0.122,1.217,0.213,1.308
202209142000,0.345,NaN,0.152,NaN,0.498,0.091,0.437,0.183,0.528
202209142100,0.126,NaN,0.122,NaN,0.247,0.091,0.217,0.152,0.278
202209142200,0.535,NaN,0.091,NaN,0.626,0.061,0.596,0.152,0.687
202209142300,1.478,NaN,0.061,NaN,1.539,0.03,1.509,0.122,1.6
202209150000,2.709,NaN,0.061,NaN,2.77,0.03,2.74,0.122,2.831
202209150100,3.922,NaN,0.091,NaN,4.013,0.061,3.983,0.122,4.043
202209150200,4.847,NaN,0.091,NaN,4.938,0.061,4.908,0.152,4.999
202209150300,5.321,NaN,0.122,NaN,5.443,0.091,5.412,0.183,5.504
202209150400,5.27,NaN,0.152,NaN,5.422,0.122,5.392,0.213,5.483
202209150500,4.704,NaN,0.183,NaN,4.887,0.152,4.856,0.244,4.948
202209150600,3.775,NaN,0.244,NaN,4.019,0.213,3.988,0.305,4.08
202209150700,2.734,NaN,0.335,NaN,3.069,0.274,3.008,0.366,3.1
202209150800,1.828,NaN,0.396,NaN,2.225,0.305,2.133,0.457,2.286
202209150900,1.281,NaN,0.457,NaN,1.738,0.366,1.647,0.579,1.86
202209151000,1.256,NaN,0.549,NaN,1.804,0.427,1.682,0.671,1.926
202209151100,1.755,NaN,0.61,NaN,2.365,0.457,2.212,0.732,2.487
202209151200,2.601,NaN,0.61,NaN,3.21,0.427,3.027,0.732,3.332
202209151300,3.523,NaN,0.64,NaN,4.163,0.488,4.01,0.762,4.285
202209151400,4.253,NaN,0.671,NaN,4.923,0.518,4.771,0.762,5.015
202209151500,4.604,NaN,0.64,NaN,5.244,0.518,5.122,0.762,5.366
202209151600,4.491,NaN,0.64,NaN,5.131,0.549,5.04,0.762,5.253
202209151700,3.902,NaN,0.64,NaN,4.542,0.549,4.451,0.732,4.634
202209151800,2.94,NaN,0.671,NaN,3.61,0.579,3.519,0.762,3.702
202209151900,1.834,NaN,0.671,NaN,2.504,0.579,2.413,0.732,2.565
202209152000,0.842,NaN,0.64,NaN,1.482,0.549,1.39,0.762,1.604
202209152100,0.196,NaN,0.61,NaN,0.805,0.488,0.683,0.762,0.958
202209152200,0.094,NaN,0.579,NaN,0.673,0.457,0.551,0.732,0.826
202209152300,0.61,NaN,0.518,NaN,1.128,0.366,0.976,0.701,1.311
202209160000,1.621,NaN,0.335,NaN,1.956,0.244,1.865,0.396,2.017
202209160100,2.87,NaN,0.244,NaN,3.114,0.183,3.053,0.305,3.175
202209160200,4.065,NaN,0.152,NaN,4.217,0.091,4.156,0.244,4.308
202209160300,4.956,NaN,0.091,NaN,5.047,0.03,4.987,0.183,5.139
