DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,0.718,NaN,0.213,NaN,0.931,0.152,0.87,0.305,1.023
202209140100,0.346,NaN,0.213,NaN,0.56,0.152,0.499,0.305,0.651
202209140200,0.158,NaN,0.213,NaN,0.371,0.122,0.28,0.305,0.462
202209140300,0.218,NaN,0.183,NaN,0.401,0.122,0.34,0.274,0.492
202209140400,0.511,NaN,0.152,NaN,0.664,0.061,0.572,0.244,0.755
202209140500,0.957,NaN,0.122,NaN,1.079,0.03,0.988,0.183,1.14
202209140600,1.469,NaN,0.122,NaN,1.591,0.061,1.53,0.152,1.622
202209140700,1.97,NaN,0.091,NaN,2.062,0.03,2.001,0.122,2.092
202209140800,2.348,NaN,0.091,NaN,2.439,0.03,2.378,0.122,2.469
202209140900,2.449,NaN,0.091,NaN,2.54,0.03,2.479,0.122,2.571
202209141000,2.218,NaN,0.091,NaN,2.31,0.03,2.249,0.152,2.371
202209141100,1.769,NaN,0.091,NaN,1.86,0.03,1.799,0.152,1.921
202209141200,1.251,NaN,0.122,NaN,1.373,0.061,1.312,0.152,1.403
202209141300,0.758,NaN,0.091,NaN,0.85,0.061,0.819,0.152,0.911
202209141400,0.382,NaN,0.091,NaN,0.474,0.061,0.443,0.122,0.504
202209141500,0.217,NaN,0.091,NaN,0.308,0.061,0.278,0.122,0.339
202209141600,0.292,NaN,0.091,NaN,0.383,0.061,0.353,0.122,0.414
202209141700,0.556,NaN,0.061,NaN,0.617,0.03,0.586,0.122,0.678
202209141800,0.928,NaN,0.061,NaN,0.989,0.03,0.958,0.091,1.019
202209141900,1.338,NaN,0.061,NaN,1.399,0.03,1.368,0.061,1.399
202209142000,1.702,NaN,0.061,NaN,1.763,0.03,1.733,0.091,1.794
202209142100,1.883,NaN,0.061,NaN,1.944,0.03,1.914,0.091,1.974
202209142200,1.771,NaN,0.061,NaN,1.832,0.03,1.802,0.091,1.863
202209142300,1.419,NaN,0.061,NaN,1.48,0.061,1.48,0.122,1.541
202209150000,0.978,NaN,0.122,NaN,1.1,0.091,1.07,0.183,1.161
202209150100,0.562,NaN,0.152,NaN,0.714,0.122,0.684,0.183,0.745
202209150200,0.25,NaN,0.152,NaN,0.403,0.122,0.372,0.213,0.464
202209150300,0.139,NaN,0.183,NaN,0.322,0.152,0.292,0.213,0.353
202209150400,0.283,NaN,0.213,NaN,0.497,0.183,0.466,0.274,0.558
202209150500,0.65,NaN,0.274,NaN,0.924,0.213,0.863,0.335,0.985
202209150600,1.152,NaN,0.366,NaN,1.517,0.305,1.456,0.427,1.578
202209150700,1.7,NaN,0.427,NaN,2.127,0.335,2.036,0.518,2.219
202209150800,2.214,NaN,0.457,NaN,2.671,0.366,2.58,0.579,2.793
202209150900,2.568,NaN,0.488,NaN,3.055,0.427,2.994,0.64,3.208
202209151000,2.617,NaN,0.549,NaN,3.166,0.457,3.074,0.64,3.257
202209151100,2.336,NaN,0.579,NaN,2.915,0.488,2.823,0.64,2.976
202209151200,1.849,NaN,0.579,NaN,2.428,0.488,2.337,0.671,2.52
202209151300,1.297,NaN,0.64,NaN,1.937,0.549,1.846,0.732,2.028
202209151400,0.771,NaN,0.701,NaN,1.472,0.61,1.38,0.792,1.563
202209151500,0.373,NaN,0.762,NaN,1.135,0.671,1.044,0.884,1.257
202209151600,0.197,NaN,0.823,NaN,1.02,0.701,0.898,0.945,1.142
202209151700,0.259,NaN,0.853,NaN,1.112,0.732,0.99,0.975,1.234
202209151800,0.502,NaN,0.853,NaN,1.355,0.762,1.264,0.914,1.416
202209151900,0.848,NaN,0.853,NaN,1.701,0.762,1.61,0.945,1.793
202209152000,1.229,NaN,0.853,NaN,2.083,0.792,2.022,0.945,2.174
202209152100,1.558,NaN,0.853,NaN,2.412,0.732,2.29,0.914,2.473
202209152200,1.697,NaN,0.792,NaN,2.489,0.671,2.367,0.853,2.55
202209152300,1.559,NaN,0.671,NaN,2.229,0.549,2.107,0.762,2.321
202209160000,1.215,NaN,0.518,NaN,1.733,0.427,1.641,0.579,1.794
202209160100,0.81,NaN,0.457,NaN,1.267,0.396,1.206,0.518,1.328
202209160200,0.445,NaN,0.396,NaN,0.841,0.366,0.81,0.488,0.932
202209160300,0.203,NaN,0.366,NaN,0.569,0.305,0.508,0.427,0.63
202209160400,0.176,NaN,0.305,NaN,0.48,0.244,0.419,0.335,0.511
202209160500,0.398,NaN,0.244,NaN,0.642,0.183,0.581,0.274,0.673
202209160600,0.823,NaN,0.152,NaN,0.975,0.091,0.914,0.183,1.006
202209160700,1.356,NaN,0.091,NaN,1.448,0.03,1.387,0.122,1.478
202209160800,1.912,NaN,0.061,NaN,1.973,0,1.912,0.091,2.004
202209160900,2.406,NaN,0.03,NaN,2.437,0,2.406,0.061,2.467
202209161000,2.714,NaN,0.03,NaN,2.744,0,2.714,0.061,2.775
202209161100,2.702,NaN,0.03,NaN,2.733,0,2.702,0.061,2.763
202209161200,2.37,NaN,0.122,NaN,2.492,0,2.37,0.274,2.645
202209161300,1.852,NaN,0.152,NaN,2.005,0.03,1.883,0.305,2.157
202209161400,1.279,NaN,0.213,NaN,1.493,0.091,1.371,0.366,1.645
202209161500,0.746,NaN,0.366,NaN,1.112,0.244,0.99,0.488,1.234
202209161600,0.356,NaN,0.518,NaN,0.874,0.396,0.753,0.671,1.027
202209161700,0.192,NaN,0.61,NaN,0.802,0.488,0.68,0.792,0.985
202209161800,0.256,NaN,0.64,NaN,0.896,0.549,0.805,0.792,1.049
202209161900,0.486,NaN,0.671,NaN,1.156,0.549,1.034,0.792,1.278
202209162000,0.805,NaN,0.64,NaN,1.445,0.549,1.353,0.792,1.597
202209162100,1.152,NaN,0.64,NaN,1.792,0.549,1.7,0.792,1.944
202209162200,1.44,NaN,0.671,NaN,2.111,0.549,1.989,0.792,2.233
202209162300,1.538,NaN,0.732,NaN,2.269,0.61,2.147,0.945,2.483
202209170000,1.376,NaN,0.884,NaN,2.26,0.762,2.138,1.097,2.473
202209170100,1.041,NaN,0.945,NaN,1.986,0.853,1.894,1.158,2.199
202209170200,0.674,NaN,1.036,NaN,1.71,0.884,1.558,1.189,1.863
202209170300,0.368,NaN,1.097,NaN,1.465,0.975,1.343,1.25,1.618
202209170400,0.203,NaN,1.158,NaN,1.361,1.006,1.209,1.311,1.513
202209170500,0.256,NaN,1.25,NaN,1.506,1.067,1.323,1.433,1.689
202209170600,0.545,NaN,1.219,NaN,1.764,1.036,1.581,1.372,1.917
202209170700,1.006,NaN,1.219,NaN,2.226,1.067,2.073,1.402,2.409
202209170800,1.546,NaN,1.25,NaN,2.795,1.128,2.673,1.433,2.978
202209170900,2.081,NaN,1.219,NaN,3.3,1.067,3.148,1.402,3.483
202209171000,2.536,NaN,1.189,NaN,3.725,1.067,3.603,1.341,3.877
202209171100,2.785,NaN,1.158,NaN,3.944,1.006,3.791,1.311,4.096
202209171200,2.709,NaN,0.975,NaN,3.685,0.884,3.593,1.097,3.807
202209171300,2.331,NaN,0.975,NaN,3.306,0.884,3.215,1.097,3.428
202209171400,1.793,NaN,1.006,NaN,2.799,0.914,2.708,1.128,2.921
202209171500,1.223,NaN,1.036,NaN,2.259,0.914,2.138,1.128,2.351
202209171600,0.71,NaN,1.006,NaN,1.716,0.884,1.594,1.128,1.838
202209171700,0.352,NaN,0.975,NaN,1.328,0.823,1.175,1.067,1.419
202209171800,0.216,NaN,0.823,NaN,1.039,0.701,0.917,0.914,1.131
