DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,2,NaN,-0.03,NaN,1.97,-0.061,1.939,0,2
202209140100,2.063,NaN,-0.03,NaN,2.033,-0.061,2.002,0,2.063
202209140200,1.911,NaN,-0.03,NaN,1.881,-0.061,1.85,0,1.911
202209140300,1.548,NaN,-0.03,NaN,1.518,-0.061,1.487,0,1.548
202209140400,1.093,NaN,-0.03,NaN,1.063,-0.061,1.032,0,1.093
202209140500,0.656,NaN,0,NaN,0.656,-0.061,0.595,0,0.656
202209140600,0.296,NaN,0,NaN,0.296,-0.061,0.235,0.03,0.326
202209140700,0.036,NaN,0,NaN,0.036,-0.061,-0.025,0.03,0.066
202209140800,-0.065,NaN,-0.03,NaN,-0.095,-0.061,-0.126,0,-0.065
202209140900,0.175,NaN,-0.03,NaN,0.145,-0.061,0.114,0,0.175
202209141000,0.785,NaN,-0.03,NaN,0.755,-0.061,0.724,0,0.785
202209141100,1.421,NaN,-0.03,NaN,1.391,-0.061,1.36,0,1.421
202209141200,1.797,NaN,-0.03,NaN,1.767,-0.061,1.736,0,1.797
202209141300,1.949,NaN,0,NaN,1.949,-0.061,1.888,0,1.949
202209141400,1.92,NaN,0,NaN,1.92,-0.03,1.89,0,1.92
202209141500,1.671,NaN,0,NaN,1.671,-0.03,1.641,0.03,1.701
202209141600,1.276,NaN,0,NaN,1.276,0,1.276,0.03,1.306
202209141700,0.866,NaN,0.03,NaN,0.896,0,0.866,0.061,0.927
202209141800,0.516,NaN,0,NaN,0.516,0,0.516,0.03,0.546
202209141900,0.254,NaN,0,NaN,0.254,0,0.254,0.03,0.284
202209142000,0.101,NaN,0,NaN,0.101,0,0.101,0.03,0.131
202209142100,0.196,NaN,0.03,NaN,0.226,0,0.196,0.061,0.257
202209142200,0.681,NaN,0.03,NaN,0.711,0.03,0.711,0.061,0.742
202209142300,1.347,NaN,0.061,NaN,1.408,0.03,1.377,0.061,1.408
202209150000,1.815,NaN,0.091,NaN,1.906,0.061,1.876,0.091,1.906
202209150100,2.009,NaN,0.091,NaN,2.1,0.091,2.1,0.122,2.131
202209150200,2.02,NaN,0.122,NaN,2.142,0.091,2.111,0.152,2.172
202209150300,1.818,NaN,0.152,NaN,1.97,0.122,1.94,0.152,1.97
202209150400,1.419,NaN,0.152,NaN,1.571,0.122,1.541,0.213,1.632
202209150500,0.956,NaN,0.213,NaN,1.169,0.152,1.108,0.274,1.23
202209150600,0.536,NaN,0.305,NaN,0.841,0.213,0.749,0.366,0.902
202209150700,0.203,NaN,0.396,NaN,0.599,0.274,0.477,0.457,0.66
202209150800,-0.031,NaN,0.488,NaN,0.457,0.366,0.335,0.579,0.548
202209150900,-0.084,NaN,0.549,NaN,0.465,0.457,0.373,0.64,0.556
202209151000,0.23,NaN,0.579,NaN,0.809,0.488,0.718,0.671,0.901
202209151100,0.87,NaN,0.61,NaN,1.48,0.518,1.388,0.732,1.602
202209151200,1.462,NaN,0.64,NaN,2.102,0.518,1.98,0.732,2.194
202209151300,1.785,NaN,0.671,NaN,2.456,0.518,2.303,0.792,2.577
202209151400,1.916,NaN,0.701,NaN,2.617,0.549,2.465,0.823,2.739
202209151500,1.87,NaN,0.762,NaN,2.632,0.579,2.449,0.884,2.754
202209151600,1.609,NaN,0.792,NaN,2.401,0.64,2.249,0.945,2.554
202209151700,1.229,NaN,0.853,NaN,2.082,0.671,1.9,1.006,2.235
202209151800,0.859,NaN,0.853,NaN,1.712,0.732,1.591,1.006,1.865
202209151900,0.554,NaN,0.853,NaN,1.407,0.732,1.286,0.975,1.529
202209152000,0.326,NaN,0.823,NaN,1.149,0.701,1.027,0.945,1.271
202209152100,0.206,NaN,0.762,NaN,0.968,0.64,0.846,0.853,1.059
202209152200,0.355,NaN,0.671,NaN,1.026,0.579,0.934,0.762,1.117
202209152300,0.868,NaN,0.579,NaN,1.447,0.488,1.356,0.671,1.539
202209160000,1.477,NaN,0.488,NaN,1.965,0.396,1.873,0.579,2.056
202209160100,1.848,NaN,0.457,NaN,2.305,0.366,2.214,0.518,2.366
202209160200,1.976,NaN,0.427,NaN,2.403,0.366,2.342,0.457,2.433
202209160300,1.936,NaN,0.396,NaN,2.332,0.366,2.302,0.427,2.363
202209160400,1.684,NaN,0.366,NaN,2.05,0.335,2.019,0.427,2.111
202209160500,1.265,NaN,0.366,NaN,1.631,0.335,1.6,0.427,1.692
202209160600,0.824,NaN,0.335,NaN,1.159,0.305,1.129,0.396,1.22
202209160700,0.444,NaN,0.335,NaN,0.779,0.305,0.749,0.366,0.81
202209160800,0.149,NaN,0.335,NaN,0.484,0.305,0.454,0.396,0.545
202209160900,-0.047,NaN,0.335,NaN,0.288,0.274,0.227,0.366,0.319
202209161000,-0.043,NaN,0.335,NaN,0.292,0.274,0.231,0.366,0.323
202209161100,0.331,NaN,0.305,NaN,0.636,0.244,0.575,0.366,0.697
202209161200,0.965,NaN,0.305,NaN,1.27,0.274,1.239,0.335,1.3
202209161300,1.49,NaN,0.305,NaN,1.795,0.244,1.734,0.335,1.825
202209161400,1.762,NaN,0.274,NaN,2.036,0.213,1.975,0.335,2.097
202209161500,1.867,NaN,0.274,NaN,2.141,0.213,2.08,0.366,2.233
202209161600,1.794,NaN,0.335,NaN,2.129,0.183,1.977,0.427,2.221
