DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,5.673,5.628,-0.03,-0.014,5.628,-0.061,5.598,0,5.659
202209140100,5.247,5.18,-0.03,-0.036,5.18,-0.03,5.18,0,5.211
202209140200,4.25,4.193,0,-0.057,4.193,-0.03,4.162,0,4.193
202209140300,2.879,2.898,0,0.019,2.898,-0.03,2.868,0,2.898
202209140400,1.423,1.398,-0.03,0.005,1.398,-0.03,1.398,0,1.429
202209140500,0.262,0.174,-0.03,-0.058,0.174,-0.061,0.143,-0.03,0.174
202209140600,-0.244,-0.357,0,-0.112,-0.357,-0.03,-0.387,0.03,-0.326
202209140700,0.042,-0.009,0.03,-0.081,-0.009,-0.03,-0.07,0.061,0.022
202209140800,0.974,0.913,0.03,-0.091,0.913,-0.03,0.853,0.061,0.944
202209140900,2.256,2.139,0.03,-0.147,2.139,-0.03,2.078,0.061,2.17
202209141000,3.566,3.437,0.03,-0.159,3.437,0,3.406,0.061,3.467
202209141100,4.583,4.516,0.03,-0.098,4.516,0,4.485,0.061,4.546
202209141200,5.058,5.01,0.061,-0.11,5.01,0,4.949,0.091,5.04
202209141300,4.909,4.805,0.061,-0.165,4.805,0,4.745,0.091,4.836
202209141400,4.219,4.144,0.061,-0.136,4.144,0,4.083,0.091,4.174
202209141500,3.166,3.166,0.03,-0.03,3.166,0,3.135,0.061,3.196
202209141600,1.986,1.995,0.03,-0.022,1.995,0,1.965,0.03,1.995
202209141700,0.981,0.988,0,0.006,0.988,0,0.988,0.03,1.018
202209141800,0.473,0.384,0,-0.09,0.384,-0.03,0.353,0.03,0.414
202209141900,0.65,0.637,0,-0.013,0.637,-0.03,0.606,0.03,0.667
202209142000,1.44,1.472,0,0.032,1.472,0,1.472,0.03,1.502
202209142100,2.587,2.523,0,-0.064,2.523,0,2.523,0.03,2.554
202209142200,3.808,3.782,0.03,-0.056,3.782,0,3.751,0.03,3.782
202209142300,4.822,4.805,0.03,-0.047,4.805,0,4.775,0.03,4.805
202209150000,5.371,5.342,0.03,-0.06,5.342,0,5.311,0.03,5.342
202209150100,5.315,5.286,0,-0.029,5.286,-0.03,5.256,0.03,5.317
202209150200,4.682,4.614,0,-0.069,4.614,-0.03,4.583,0,4.614
202209150300,3.619,3.568,0,-0.051,3.568,-0.03,3.538,0,3.568
202209150400,2.339,2.267,-0.03,-0.041,2.267,-0.03,2.267,0,2.298
202209150500,1.116,1.063,-0.03,-0.022,1.063,-0.03,1.063,0,1.094
202209150600,0.268,0.134,0,-0.134,0.134,-0.03,0.103,0,0.134
202209150700,0.057,0.037,-0.03,0.01,0.037,-0.03,0.037,0,0.067
202209150800,0.517,0.5,-0.03,0.013,0.5,-0.061,0.469,0,0.53
202209150900,1.449,1.362,-0.03,-0.057,1.362,-0.061,1.331,0,1.392
202209151000,2.576,2.431,-0.03,-0.115,2.431,-0.061,2.401,0,2.462
202209151100,3.634,3.492,-0.03,-0.112,3.492,-0.061,3.462,0,3.523
202209151200,4.37,4.257,-0.03,-0.083,4.257,-0.061,4.226,0,4.287
202209151300,4.609,4.443,-0.061,-0.105,4.443,-0.061,4.443,-0.03,4.473
202209151400,4.333,4.117,-0.061,-0.155,4.117,-0.091,4.086,-0.03,4.147
202209151500,3.663,3.538,-0.061,-0.064,3.538,-0.091,3.507,-0.03,3.568
202209151600,2.778,2.703,-0.061,-0.014,2.703,-0.061,2.703,-0.03,2.734
202209151700,1.885,1.782,-0.03,-0.072,1.782,-0.061,1.752,0,1.813
202209151800,1.224,1.102,-0.061,-0.061,1.102,-0.061,1.102,-0.03,1.133
202209151900,1.029,0.896,-0.061,-0.072,0.896,-0.091,0.865,-0.03,0.926
202209152000,1.393,1.349,-0.061,0.017,1.349,-0.091,1.319,-0.061,1.349
202209152100,2.188,2.123,-0.091,0.026,2.123,-0.122,2.093,-0.03,2.184
202209152200,3.175,3.074,-0.091,-0.01,3.074,-0.122,3.043,-0.03,3.135
202209152300,4.126,4.035,-0.091,0,4.035,-0.122,4.004,-0.061,4.065
202209160000,4.825,4.726,-0.152,0.053,4.726,-0.183,4.695,-0.122,4.756
202209160100,5.078,4.973,-0.183,0.077,4.973,-0.213,4.942,-0.152,5.003
202209160200,4.811,4.669,-0.183,0.041,4.669,-0.213,4.638,-0.183,4.669
202209160300,4.096,3.986,-0.183,0.073,3.986,-0.213,3.955,-0.152,4.016
202209160400,3.098,3.023,-0.183,0.108,3.023,-0.183,3.023,-0.152,3.053
202209160500,2.014,1.959,-0.152,0.098,1.959,-0.152,1.959,-0.122,1.99
202209160600,1.069,0.988,-0.122,0.04,0.988,-0.122,0.988,-0.091,1.018
202209160700,0.509,0.445,-0.122,0.058,0.445,-0.152,0.414,-0.091,0.475
202209160800,0.501,0.475,-0.122,0.095,0.475,-0.152,0.444,-0.091,0.505
202209160900,1.01,0.936,-0.122,0.048,0.936,-0.122,0.936,-0.091,0.966
202209161000,1.827,1.706,-0.091,-0.03,1.706,-0.122,1.676,-0.091,1.706
202209161100,2.73,2.587,-0.091,-0.051,2.587,-0.122,2.557,-0.061,2.618
202209161200,3.522,3.37,-0.091,-0.061,3.37,-0.091,3.37,-0.061,3.4
202209161300,4.018,3.9,-0.091,-0.027,3.9,-0.122,3.869,-0.061,3.93
202209161400,4.105,3.916,-0.091,-0.098,3.916,-0.122,3.885,-0.091,3.916
202209161500,3.812,3.666,-0.091,-0.054,3.666,-0.122,3.635,-0.091,3.666
202209161600,3.266,3.227,-0.091,0.053,3.227,-0.122,3.196,-0.091,3.227
202209161700,2.619,2.529,-0.091,0.002,2.529,-0.122,2.499,-0.061,2.56
202209161800,2.022,1.938,-0.091,0.007,1.938,-0.152,1.877,-0.061,1.969
202209161900,1.644,1.52,-0.091,-0.033,1.52,-0.122,1.49,-0.061,1.551
202209162000,1.646,1.563,-0.091,0.009,1.563,-0.122,1.533,-0.061,1.594
202209162100,2.057,1.922,-0.091,-0.043,1.922,-0.122,1.892,-0.091,1.922
202209162200,2.736,2.559,-0.122,-0.055,2.559,-0.122,2.559,-0.091,2.59
202209162300,3.491,3.315,-0.122,-0.054,3.315,-0.152,3.285,-0.091,3.345
202209170000,4.164,3.98,-0.213,0.029,3.98,-0.244,3.949,-0.152,4.041
202209170100,4.601,4.388,-0.213,0,4.388,-0.244,4.357,-0.152,4.449
202209170200,4.658,4.425,-0.213,-0.02,4.425,-0.244,4.394,-0.152,4.486
202209170300,4.304,4.099,-0.213,0.008,4.099,-0.244,4.068,-0.152,4.16
202209170400,3.633,3.489,-0.183,0.039,3.489,-0.213,3.459,-0.152,3.52
202209170500,2.795,2.669,-0.183,0.057,2.669,-0.213,2.639,-0.183,2.669
202209170600,1.943,1.811,-0.183,0.05,1.811,-0.213,1.78,-0.152,1.841
202209170700,1.244,1.094,-0.183,0.033,1.094,-0.213,1.063,-0.152,1.124
202209170800,0.878,0.71,-0.183,0.015,0.71,-0.213,0.679,-0.152,0.74
202209170900,0.95,0.735,-0.183,-0.033,0.735,-0.244,0.674,-0.152,0.765
202209171000,1.391,1.066,-0.213,-0.111,1.066,-0.274,1.006,-0.152,1.127
202209171100,2.022,1.686,-0.213,-0.123,1.686,-0.274,1.625,-0.183,1.716
202209171200,2.691,2.395,-0.152,-0.144,2.395,-0.183,2.365,-0.122,2.426
202209171300,3.268,2.949,-0.152,-0.167,2.949,-0.183,2.918,-0.122,2.979
202209171400,3.616,3.324,-0.152,-0.14,3.324,-0.183,3.293,-0.122,3.354
202209171500,3.664,3.367,-0.183,-0.114,3.367,-0.213,3.337,-0.152,3.398
202209171600,3.455,3.215,-0.213,-0.026,3.215,-0.244,3.185,-0.183,3.246
202209171700,3.097,2.922,-0.213,0.038,2.922,-0.244,2.892,-0.213,2.922
202209171800,2.692,2.44,-0.183,-0.069,2.44,-0.274,2.349,-0.152,2.471
202209171900,2.327,2.081,-0.183,-0.063,2.081,-0.274,1.99,-0.091,2.173
202209172000,2.116,1.874,-0.152,-0.09,1.874,-0.305,1.722,-0.061,1.966
202209172100,2.176,1.941,-0.152,-0.082,1.941,-0.274,1.819,-0.061,2.033
202209172200,2.511,2.27,-0.152,-0.088,2.27,-0.274,2.148,-0.061,2.362
202209172300,3.002,2.742,-0.152,-0.107,2.742,-0.213,2.681,-0.091,2.803
202209180000,3.523,3.276,-0.122,-0.126,3.276,-0.152,3.246,-0.091,3.306
202209180100,3.984,3.769,-0.122,-0.093,3.769,-0.122,3.769,-0.091,3.799
202209180200,4.265,3.98,-0.091,-0.194,3.98,-0.122,3.949,-0.061,4.01
202209180300,4.253,3.98,-0.091,-0.182,3.98,-0.122,3.949,-0.061,4.01
202209180400,3.935,3.696,-0.091,-0.147,3.696,-0.122,3.666,-0.03,3.757
202209180500,3.393,3.242,-0.091,-0.06,3.242,-0.152,3.181,-0.03,3.303
202209180600,2.741,2.617,-0.091,-0.033,2.617,-0.152,2.556,-0.03,2.678
202209180700,2.081,1.959,-0.091,-0.03,1.959,-0.152,1.898,-0.061,1.99
202209180800,1.531,1.405,-0.122,-0.005,1.405,-0.122,1.405,-0.091,1.435
202209180900,1.236,1.081,-0.122,-0.033,1.081,-0.152,1.051,-0.091,1.112
202209181000,1.271,1.079,-0.152,-0.04,1.079,-0.213,1.018,-0.091,1.14
202209181100,1.569,1.283,-0.183,-0.104,1.283,-0.244,1.222,-0.122,1.344
202209181200,2.008,1.733,-0.183,-0.091,1.733,-0.244,1.672,-0.122,1.794
202209181300,2.501,2.224,-0.183,-0.094,2.224,-0.244,2.163,-0.091,2.316
202209181400,2.962,2.672,-0.152,-0.137,2.672,-0.213,2.611,-0.091,2.733
202209181500,3.279,3.02,-0.152,-0.106,3.02,-0.183,2.989,-0.122,3.05
202209181600,3.39,3.169,-0.122,-0.099,3.169,-0.152,3.139,-0.091,3.199
202209181700,3.329,3.151,-0.122,-0.056,3.151,-0.183,3.09,-0.061,3.212
202209181800,3.161,3.001,-0.152,-0.008,3.001,-0.244,2.91,-0.091,3.062
202209181900,2.93,2.739,-0.152,-0.039,2.739,-0.213,2.678,-0.091,2.8
202209182000,2.679,2.443,-0.152,-0.084,2.443,-0.183,2.413,-0.122,2.474
202209182100,2.5,2.248,-0.152,-0.1,2.248,-0.213,2.187,-0.091,2.309
202209182200,2.497,2.227,-0.152,-0.117,2.227,-0.244,2.136,-0.091,2.288
202209182300,2.683,2.392,-0.183,-0.108,2.392,-0.274,2.301,-0.091,2.484
202209190000,2.985,2.7,-0.244,-0.041,2.7,-0.305,2.639,-0.183,2.761
202209190100,3.342,3.081,-0.213,-0.048,3.081,-0.274,3.02,-0.152,3.142
202209190200,3.703,3.446,-0.183,-0.074,3.446,-0.244,3.385,-0.122,3.507
202209190300,3.958,3.669,-0.152,-0.137,3.669,-0.213,3.608,-0.122,3.699
202209190400,3.995,3.687,-0.152,-0.155,3.687,-0.183,3.656,-0.122,3.717
202209190500,3.79,3.541,-0.183,-0.066,3.541,-0.183,3.541,-0.122,3.602
202209190600,3.397,3.163,-0.213,-0.02,3.163,-0.244,3.132,-0.122,3.254
202209190700,2.884,2.651,-0.183,-0.05,2.651,-0.244,2.59,-0.152,2.682
202209190800,2.316,2.078,-0.183,-0.054,2.078,-0.213,2.048,-0.152,2.109
202209190900,1.793,1.52,-0.183,-0.09,1.52,-0.244,1.459,-0.152,1.551
202209191000,1.453,1.166,-0.183,-0.104,1.166,-0.244,1.106,-0.152,1.197
202209191100,1.375,0.994,-0.183,-0.199,0.994,-0.213,0.963,-0.152,1.024
202209191200,1.522,1.116,-0.244,-0.163,1.116,-0.274,1.085,-0.213,1.146
202209191300,1.827,1.395,-0.213,-0.219,1.395,-0.244,1.365,-0.183,1.426
202209191400,2.252,1.864,-0.152,-0.235,1.864,-0.183,1.834,-0.122,1.895
202209191500,2.719,2.386,-0.091,-0.242,2.386,-0.152,2.325,-0.061,2.417
202209191600,3.111,2.767,-0.091,-0.252,2.767,-0.152,2.706,-0.03,2.828
202209191700,3.351,3.084,-0.091,-0.176,3.084,-0.152,3.023,-0.061,3.114
202209191800,3.438,3.169,-0.152,-0.117,3.169,-0.183,3.139,-0.122,3.199
202209191900,3.393,3.111,-0.122,-0.16,3.111,-0.213,3.02,-0.061,3.172
202209192000,3.221,2.91,-0.122,-0.189,2.91,-0.244,2.788,-0.03,3.002
202209192100,2.95,2.605,-0.091,-0.254,2.605,-0.244,2.453,0,2.697
202209192200,2.683,2.334,-0.091,-0.258,2.334,-0.213,2.212,0,2.426
202209192300,2.544,2.197,-0.091,-0.255,2.197,-0.183,2.106,-0.03,2.258
202209200000,2.577,2.209,-0.152,-0.215,2.209,-0.183,2.179,-0.122,2.24
202209200100,2.757,2.392,-0.091,-0.273,2.392,-0.122,2.362,-0.091,2.392
