DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,3.053,NaN,0.335,NaN,3.389,0.274,3.328,0.366,3.419
202209140100,4.42,NaN,0.335,NaN,4.755,0.274,4.695,0.366,4.786
202209140200,5.465,NaN,0.335,NaN,5.8,0.274,5.739,0.396,5.861
202209140300,5.92,NaN,0.335,NaN,6.255,0.305,6.225,0.396,6.316
202209140400,5.713,NaN,0.366,NaN,6.079,0.305,6.018,0.396,6.11
202209140500,5.012,NaN,0.366,NaN,5.378,0.305,5.317,0.427,5.439
202209140600,4.017,NaN,0.396,NaN,4.413,0.335,4.352,0.457,4.474
202209140700,2.951,NaN,0.427,NaN,3.377,0.335,3.286,0.457,3.408
202209140800,1.95,NaN,0.427,NaN,2.377,0.366,2.316,0.488,2.438
202209140900,1.127,NaN,0.427,NaN,1.553,0.366,1.492,0.488,1.614
202209141000,0.891,NaN,0.427,NaN,1.317,0.366,1.256,0.488,1.378
202209141100,1.565,NaN,0.427,NaN,1.992,0.366,1.931,0.488,2.053
202209141200,2.815,NaN,0.396,NaN,3.211,0.305,3.119,0.457,3.272
202209141300,4.095,NaN,0.366,NaN,4.46,0.305,4.399,0.427,4.521
202209141400,5.134,NaN,0.335,NaN,5.47,0.274,5.409,0.396,5.531
202209141500,5.691,NaN,0.335,NaN,6.026,0.274,5.965,0.366,6.057
202209141600,5.585,NaN,0.305,NaN,5.889,0.274,5.859,0.366,5.95
202209141700,4.914,NaN,0.305,NaN,5.218,0.274,5.188,0.335,5.249
202209141800,3.886,NaN,0.274,NaN,4.161,0.244,4.13,0.305,4.191
202209141900,2.727,NaN,0.274,NaN,3.001,0.244,2.971,0.305,3.032
202209142000,1.634,NaN,0.274,NaN,1.908,0.244,1.878,0.305,1.939
202209142100,0.686,NaN,0.244,NaN,0.93,0.213,0.899,0.274,0.96
202209142200,0.16,NaN,0.244,NaN,0.404,0.213,0.373,0.274,0.434
202209142300,0.523,NaN,0.244,NaN,0.767,0.213,0.736,0.274,0.797
202209150000,1.722,NaN,0.213,NaN,1.935,0.183,1.905,0.244,1.966
202209150100,3.197,NaN,0.213,NaN,3.41,0.183,3.38,0.244,3.441
202209150200,4.561,NaN,0.183,NaN,4.744,0.183,4.744,0.213,4.774
202209150300,5.585,NaN,0.183,NaN,5.768,0.183,5.768,0.213,5.799
202209150400,6.009,NaN,0.183,NaN,6.192,0.183,6.192,0.213,6.222
202209150500,5.792,NaN,0.213,NaN,6.005,0.183,5.975,0.244,6.036
202209150600,5.105,NaN,0.213,NaN,5.318,0.213,5.318,0.244,5.349
202209150700,4.146,NaN,0.244,NaN,4.39,0.213,4.359,0.274,4.42
202209150800,3.125,NaN,0.244,NaN,3.368,0.213,3.338,0.274,3.399
202209150900,2.14,NaN,0.274,NaN,2.414,0.244,2.384,0.335,2.475
202209151000,1.33,NaN,0.335,NaN,1.665,0.274,1.604,0.366,1.695
202209151100,1.152,NaN,0.396,NaN,1.548,0.305,1.456,0.457,1.609
202209151200,1.853,NaN,0.427,NaN,2.279,0.335,2.188,0.488,2.34
202209151300,3.019,NaN,0.457,NaN,3.476,0.366,3.384,0.549,3.567
202209151400,4.161,NaN,0.518,NaN,4.679,0.396,4.557,0.61,4.77
202209151500,5.055,NaN,0.549,NaN,5.604,0.427,5.482,0.671,5.726
202209151600,5.463,NaN,0.579,NaN,6.042,0.457,5.92,0.671,6.134
202209151700,5.239,NaN,0.579,NaN,5.818,0.457,5.696,0.671,5.909
202209151800,4.512,NaN,0.64,NaN,5.152,0.518,5.03,0.701,5.213
202209151900,3.491,NaN,0.64,NaN,4.131,0.518,4.009,0.732,4.222
202209152000,2.395,NaN,0.64,NaN,3.035,0.549,2.943,0.732,3.126
202209152100,1.38,NaN,0.64,NaN,2.02,0.549,1.928,0.732,2.111
202209152200,0.514,NaN,0.671,NaN,1.184,0.579,1.093,0.732,1.245
202209152300,0.13,NaN,0.64,NaN,0.77,0.579,0.709,0.732,0.861
202209160000,0.659,NaN,0.579,NaN,1.238,0.488,1.146,0.64,1.299
202209160100,1.934,NaN,0.549,NaN,2.483,0.457,2.391,0.61,2.544
202209160200,3.396,NaN,0.518,NaN,3.914,0.427,3.822,0.579,3.975
202209160300,4.723,NaN,0.488,NaN,5.21,0.427,5.149,0.549,5.271
202209160400,5.688,NaN,0.457,NaN,6.146,0.396,6.085,0.518,6.207
