DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,0.551,0.457,-0.061,-0.034,0.457,-0.061,0.457,-0.061,0.457
202209140100,0.656,0.552,-0.061,-0.043,0.552,-0.091,0.521,-0.061,0.552
202209140200,0.792,0.658,-0.061,-0.073,0.658,-0.091,0.627,-0.061,0.658
202209140300,0.921,0.799,-0.061,-0.061,0.799,-0.091,0.768,-0.061,0.799
202209140400,1.006,0.878,-0.061,-0.067,0.878,-0.091,0.847,-0.061,0.878
202209140500,1.02,0.92,-0.061,-0.039,0.92,-0.091,0.889,-0.061,0.92
202209140600,0.952,0.878,-0.061,-0.014,0.878,-0.061,0.878,-0.061,0.878
202209140700,0.81,0.728,-0.061,-0.021,0.728,-0.061,0.728,-0.03,0.758
202209140800,0.616,0.524,-0.061,-0.031,0.524,-0.061,0.524,-0.03,0.554
202209140900,0.406,0.323,-0.061,-0.023,0.323,-0.061,0.323,-0.03,0.353
202209141000,0.225,0.104,-0.061,-0.06,0.104,-0.061,0.104,-0.03,0.134
202209141100,0.11,0.018,-0.03,-0.062,0.018,-0.061,-0.012,-0.03,0.018
202209141200,0.087,-0.006,-0.061,-0.032,-0.006,-0.061,-0.006,-0.03,0.025
202209141300,0.158,0.024,-0.061,-0.074,0.024,-0.061,0.024,-0.03,0.054
202209141400,0.301,0.204,-0.03,-0.067,0.204,-0.061,0.173,-0.03,0.204
202209141500,0.481,0.344,-0.03,-0.106,0.344,-0.061,0.313,-0.03,0.344
202209141600,0.658,0.555,-0.03,-0.073,0.555,-0.061,0.524,-0.03,0.555
202209141700,0.801,0.765,-0.03,-0.006,0.765,-0.061,0.734,-0.03,0.765
202209141800,0.893,0.799,-0.061,-0.033,0.799,-0.061,0.799,-0.03,0.829
202209141900,0.925,0.893,-0.061,0.029,0.893,-0.061,0.893,-0.03,0.923
202209142000,0.903,0.905,-0.061,0.063,0.905,-0.061,0.905,-0.061,0.905
202209142100,0.841,0.823,-0.061,0.043,0.823,-0.061,0.823,-0.03,0.853
202209142200,0.764,0.738,-0.061,0.034,0.738,-0.061,0.738,-0.03,0.768
202209142300,0.703,0.683,-0.03,0.011,0.683,-0.061,0.652,-0.03,0.683
202209150000,0.684,0.677,-0.03,0.023,0.677,-0.061,0.646,-0.03,0.677
202209150100,0.72,0.695,-0.03,0.005,0.695,-0.061,0.664,-0.03,0.695
202209150200,0.804,0.698,-0.03,-0.076,0.698,-0.03,0.698,-0.03,0.698
