DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,3.259,NaN,0,NaN,3.259,-0.03,3.228,0,3.259
202209140100,2.963,2.882,-0.03,-0.05,2.882,-0.03,2.882,0,2.913
202209140200,2.34,2.279,-0.03,-0.03,2.279,-0.03,2.279,0,2.31
202209140300,1.537,1.472,-0.03,-0.035,1.472,-0.061,1.441,0,1.502
202209140400,0.757,0.71,-0.03,-0.017,0.71,-0.061,0.679,0,0.74
202209140500,0.187,0.14,0,-0.047,0.14,-0.03,0.109,0,0.14
202209140600,-0.045,-0.113,0.03,-0.098,-0.113,0,-0.143,0.061,-0.082
202209140700,0.106,0.088,0.03,-0.049,0.088,0,0.057,0.061,0.118
202209140800,0.589,0.555,0.061,-0.095,0.555,0.03,0.524,0.091,0.585
202209140900,1.269,1.241,0.061,-0.09,1.241,0.03,1.21,0.091,1.271
202209141000,1.976,1.941,0.061,-0.096,1.941,0.03,1.911,0.091,1.972
202209141100,2.524,2.471,0.061,-0.113,2.471,0.03,2.441,0.091,2.502
202209141200,2.779,2.745,0.03,-0.065,2.745,0.03,2.745,0.061,2.776
202209141300,2.702,2.605,0.03,-0.127,2.605,0.03,2.605,0.061,2.636
202209141400,2.322,2.242,0.03,-0.11,2.242,0.03,2.242,0.061,2.273
202209141500,1.739,1.669,0.03,-0.101,1.669,0,1.639,0.03,1.669
202209141600,1.125,1.052,0.03,-0.104,1.052,0,1.021,0.03,1.052
202209141700,0.654,0.619,0.03,-0.066,0.619,0,0.588,0.061,0.649
202209141800,0.455,0.424,0,-0.031,0.424,0,0.424,0.03,0.454
202209141900,0.589,0.588,0,-0.001,0.588,0,0.588,0.03,0.618
202209142000,1.029,1.07,0.03,0.01,1.07,0,1.039,0.03,1.07
202209142100,1.665,1.654,0.03,-0.041,1.654,0,1.624,0.03,1.654
202209142200,2.341,2.352,0.03,-0.02,2.352,0,2.322,0.03,2.352
202209142300,2.885,2.861,0.03,-0.055,2.861,0,2.831,0.03,2.861
202209150000,3.151,NaN,0,NaN,3.151,0,3.151,0,3.151
202209150100,3.075,3.02,0,-0.055,3.02,0,3.02,0,3.02
202209150200,2.674,2.587,0,-0.087,2.587,-0.03,2.557,0,2.587
202209150300,2.025,1.98,0,-0.045,1.98,-0.03,1.95,0,1.98
202209150400,1.279,1.224,0,-0.055,1.224,-0.03,1.194,0,1.224
202209150500,0.619,0.558,-0.03,-0.031,0.558,-0.03,0.558,0,0.588
202209150600,0.191,0.146,0,-0.045,0.146,-0.03,0.115,0,0.146
202209150700,0.08,0.034,0,-0.046,0.034,-0.03,0.003,0,0.034
202209150800,0.301,0.235,0,-0.066,0.235,-0.03,0.204,0,0.235
202209150900,0.778,0.716,0,-0.062,0.716,-0.03,0.685,0,0.716
202209151000,1.379,1.28,0,-0.099,1.28,-0.03,1.249,0,1.28
202209151100,1.956,1.852,0,-0.104,1.852,-0.03,1.822,0,1.852
202209151200,2.364,2.23,-0.03,-0.103,2.23,-0.03,2.23,-0.03,2.23
202209151300,2.514,2.373,-0.03,-0.11,2.373,-0.03,2.373,-0.03,2.373
202209151400,2.396,2.276,-0.03,-0.089,2.276,-0.03,2.276,-0.03,2.276
202209151500,2.051,1.922,-0.03,-0.098,1.922,-0.03,1.922,-0.03,1.922
202209151600,1.582,1.462,-0.03,-0.089,1.462,-0.03,1.462,-0.03,1.462
202209151700,1.137,1.03,-0.03,-0.077,1.03,-0.061,0.999,-0.03,1.03
202209151800,0.851,0.728,-0.091,-0.032,0.728,-0.091,0.728,-0.061,0.758
202209151900,0.807,0.695,-0.061,-0.051,0.695,-0.091,0.664,-0.061,0.695
202209152000,1.031,0.938,-0.061,-0.031,0.938,-0.061,0.938,-0.061,0.938
202209152100,1.472,1.344,-0.061,-0.068,1.344,-0.061,1.344,-0.061,1.344
202209152200,2.019,1.919,-0.061,-0.039,1.919,-0.061,1.919,-0.061,1.919
202209152300,2.54,2.422,-0.061,-0.057,2.422,-0.091,2.392,-0.061,2.422
202209160000,2.902,NaN,-0.122,NaN,2.78,-0.122,2.78,-0.122,2.78
202209160100,3.004,2.861,-0.122,-0.021,2.861,-0.122,2.861,-0.122,2.861
202209160200,2.82,2.693,-0.122,-0.005,2.693,-0.122,2.693,-0.122,2.693
202209160300,2.383,2.282,-0.122,0.021,2.282,-0.122,2.282,-0.122,2.282
202209160400,1.776,1.672,-0.122,0.019,1.672,-0.122,1.672,-0.122,1.672
202209160500,1.137,1.018,-0.122,0.003,1.018,-0.122,1.018,-0.122,1.018
202209160600,0.614,0.521,-0.122,0.028,0.521,-0.122,0.521,-0.091,0.551
202209160700,0.312,0.232,-0.122,0.041,0.232,-0.122,0.232,-0.091,0.262
202209160800,0.284,0.162,-0.091,-0.031,0.162,-0.122,0.131,-0.091,0.162
202209160900,0.518,0.39,-0.091,-0.037,0.39,-0.122,0.359,-0.091,0.39
202209161000,0.933,0.811,-0.091,-0.031,0.811,-0.122,0.78,-0.091,0.811
202209161100,1.421,1.252,-0.122,-0.046,1.252,-0.122,1.252,-0.091,1.283
202209161200,1.866,1.736,-0.091,-0.038,1.736,-0.122,1.706,-0.091,1.736
202209161300,2.162,1.989,-0.091,-0.081,1.989,-0.122,1.959,-0.091,1.989
202209161400,2.253,2.09,-0.091,-0.072,2.09,-0.122,2.06,-0.091,2.09
202209161500,2.146,2.008,-0.091,-0.046,2.008,-0.122,1.978,-0.091,2.008
202209161600,1.882,1.743,-0.122,-0.018,1.743,-0.122,1.743,-0.091,1.773
202209161700,1.55,1.259,-0.122,-0.17,1.259,-0.122,1.259,-0.091,1.289
202209161800,1.267,1.124,-0.122,-0.021,1.124,-0.122,1.124,-0.122,1.124
202209161900,1.126,1.015,-0.122,0.011,1.015,-0.152,0.984,-0.122,1.015
202209162000,1.175,1.024,-0.122,-0.03,1.024,-0.152,0.993,-0.122,1.024
202209162100,1.417,1.268,-0.122,-0.027,1.268,-0.152,1.237,-0.122,1.268
202209162200,1.793,1.64,-0.122,-0.032,1.64,-0.152,1.609,-0.122,1.64
202209162300,2.212,2.072,-0.152,0.013,2.072,-0.152,2.072,-0.152,2.072
202209170000,2.578,2.541,-0.152,0.116,2.541,-0.183,2.511,-0.152,2.541
202209170100,2.794,2.617,-0.183,0.006,2.617,-0.213,2.587,-0.152,2.648
202209170200,2.793,2.66,-0.183,0.05,2.66,-0.213,2.63,-0.183,2.66
202209170300,2.571,2.386,-0.213,0.029,2.386,-0.213,2.386,-0.213,2.386
202209170400,2.163,1.998,-0.213,0.049,1.998,-0.213,1.998,-0.213,1.998
202209170500,1.643,1.472,-0.213,0.042,1.472,-0.244,1.441,-0.213,1.472
202209170600,1.125,0.966,-0.183,0.024,0.966,-0.213,0.935,-0.152,0.996
202209170700,0.72,0.582,-0.183,0.044,0.582,-0.213,0.551,-0.152,0.612
202209170800,0.501,0.302,-0.183,-0.016,0.302,-0.213,0.271,-0.152,0.332
202209170900,0.497,0.283,-0.213,-0.001,0.283,-0.213,0.283,-0.183,0.313
202209171000,0.689,0.485,-0.213,0.009,0.485,-0.244,0.454,-0.213,0.485
202209171100,1.01,0.744,-0.213,-0.053,0.744,-0.244,0.713,-0.183,0.774
202209171200,1.384,1.097,-0.183,-0.105,1.097,-0.183,1.097,-0.152,1.127
202209171300,1.728,1.444,-0.183,-0.101,1.444,-0.183,1.444,-0.152,1.475
202209171400,1.961,1.688,-0.183,-0.09,1.688,-0.213,1.658,-0.152,1.719
202209171500,2.048,1.811,-0.183,-0.054,1.811,-0.183,1.811,-0.183,1.811
202209171600,1.996,1.743,-0.183,-0.07,1.743,-0.183,1.743,-0.183,1.743
202209171700,1.836,1.611,-0.183,-0.041,1.611,-0.213,1.581,-0.183,1.611
202209171800,1.631,1.405,-0.183,-0.044,1.405,-0.213,1.374,-0.152,1.435
202209171900,1.47,1.249,-0.183,-0.037,1.249,-0.213,1.219,-0.122,1.31
202209172000,1.41,1.209,-0.152,-0.048,1.209,-0.213,1.148,-0.122,1.24
202209172100,1.481,1.277,-0.152,-0.052,1.277,-0.183,1.246,-0.122,1.307
202209172200,1.677,1.447,-0.152,-0.077,1.447,-0.183,1.417,-0.122,1.478
202209172300,1.952,1.743,-0.152,-0.057,1.743,-0.152,1.743,-0.122,1.773
202209180000,2.246,2.188,-0.152,0.094,2.188,-0.152,2.188,-0.152,2.188
202209180100,2.497,2.255,-0.152,-0.089,2.255,-0.183,2.225,-0.152,2.255
202209180200,2.63,2.425,-0.152,-0.052,2.425,-0.183,2.395,-0.122,2.456
202209180300,2.596,2.376,-0.152,-0.067,2.376,-0.152,2.376,-0.122,2.407
202209180400,2.397,2.206,-0.152,-0.039,2.206,-0.183,2.176,-0.122,2.237
202209180500,2.06,1.874,-0.152,-0.034,1.874,-0.183,1.844,-0.152,1.874
202209180600,1.636,1.43,-0.122,-0.085,1.43,-0.152,1.399,-0.122,1.43
202209180700,1.215,1.018,-0.122,-0.076,1.018,-0.152,0.987,-0.122,1.018
202209180800,0.881,0.671,-0.152,-0.058,0.671,-0.183,0.64,-0.122,0.701
202209180900,0.684,0.466,-0.152,-0.066,0.466,-0.183,0.435,-0.122,0.496
202209181000,0.649,0.402,-0.152,-0.095,0.402,-0.183,0.371,-0.152,0.402
202209181100,0.766,0.509,-0.152,-0.105,0.509,-0.183,0.478,-0.152,0.509
202209181200,0.995,0.698,-0.122,-0.176,0.698,-0.122,0.698,-0.091,0.728
202209181300,1.29,0.96,-0.122,-0.208,0.96,-0.122,0.96,-0.091,0.99
202209181400,1.585,1.288,-0.122,-0.174,1.288,-0.152,1.258,-0.122,1.288
202209181500,1.811,1.518,-0.152,-0.141,1.518,-0.183,1.487,-0.122,1.548
202209181600,1.939,1.651,-0.152,-0.135,1.651,-0.183,1.621,-0.152,1.651
202209181700,1.966,1.688,-0.183,-0.094,1.688,-0.183,1.688,-0.152,1.719
202209181800,1.899,1.618,-0.152,-0.129,1.618,-0.183,1.587,-0.152,1.618
202209181900,1.783,1.499,-0.152,-0.131,1.499,-0.183,1.469,-0.122,1.53
202209182000,1.68,1.423,-0.152,-0.105,1.423,-0.183,1.392,-0.122,1.453
202209182100,1.631,1.355,-0.152,-0.123,1.355,-0.183,1.325,-0.152,1.355
202209182200,1.661,1.369,-0.152,-0.14,1.369,-0.183,1.338,-0.152,1.369
202209182300,1.775,1.499,-0.183,-0.093,1.499,-0.183,1.499,-0.152,1.53
202209190000,1.954,1.782,-0.152,-0.019,1.782,-0.183,1.752,-0.152,1.782
202209190100,2.166,1.874,-0.183,-0.109,1.874,-0.183,1.874,-0.152,1.905
202209190200,2.364,2.09,-0.183,-0.091,2.09,-0.183,2.09,-0.152,2.121
202209190300,2.482,2.169,-0.183,-0.13,2.169,-0.213,2.139,-0.183,2.169
202209190400,2.477,2.23,-0.213,-0.033,2.23,-0.213,2.23,-0.183,2.261
202209190500,2.34,2.038,-0.213,-0.089,2.038,-0.244,2.008,-0.213,2.038
202209190600,2.078,1.791,-0.152,-0.134,1.791,-0.183,1.761,-0.152,1.791
202209190700,1.723,1.447,-0.152,-0.123,1.447,-0.183,1.417,-0.152,1.447
202209190800,1.348,1.045,-0.152,-0.151,1.045,-0.183,1.014,-0.152,1.045
202209190900,1.021,0.71,-0.152,-0.159,0.71,-0.183,0.679,-0.152,0.71
202209191000,0.789,0.488,-0.152,-0.149,0.488,-0.183,0.457,-0.122,0.518
202209191100,0.691,0.344,-0.152,-0.194,0.344,-0.183,0.313,-0.122,0.374
202209191200,0.736,0.421,-0.122,-0.194,0.421,-0.152,0.39,-0.122,0.421
202209191300,0.911,0.561,-0.152,-0.198,0.561,-0.152,0.561,-0.122,0.591
202209191400,1.183,0.802,-0.152,-0.229,0.802,-0.152,0.802,-0.122,0.832
202209191500,1.487,1.152,-0.152,-0.183,1.152,-0.152,1.152,-0.122,1.182
202209191600,1.755,1.387,-0.152,-0.216,1.387,-0.152,1.387,-0.122,1.417
202209191700,1.95,1.584,-0.152,-0.214,1.584,-0.152,1.584,-0.152,1.584
202209191800,2.047,1.709,-0.152,-0.185,1.709,-0.183,1.679,-0.122,1.74
202209191900,2.035,1.686,-0.152,-0.197,1.686,-0.183,1.655,-0.122,1.716
202209192000,1.945,1.587,-0.122,-0.236,1.587,-0.152,1.557,-0.122,1.587
202209192100,1.83,1.459,-0.122,-0.249,1.459,-0.152,1.429,-0.122,1.459
202209192200,1.729,1.39,-0.122,-0.218,1.39,-0.152,1.359,-0.122,1.39
