DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,0.28,0.32,0,0.04,0.32,-0.03,0.289,0,0.32
202209140100,0.337,0.39,0,0.052,0.39,-0.03,0.359,0,0.39
202209140200,0.402,0.469,-0.03,0.097,0.469,-0.061,0.438,0,0.499
202209140300,0.457,0.524,-0.03,0.097,0.524,-0.061,0.493,0,0.554
202209140400,0.478,0.555,-0.03,0.107,0.555,-0.061,0.524,0,0.585
202209140500,0.454,0.527,-0.03,0.103,0.527,-0.061,0.496,0,0.557
202209140600,0.392,0.43,-0.03,0.068,0.43,-0.061,0.399,0,0.46
202209140700,0.305,0.326,-0.03,0.051,0.326,-0.061,0.295,0,0.356
202209140800,0.207,0.247,-0.03,0.07,0.247,-0.061,0.216,0,0.277
202209140900,0.13,0.125,-0.03,0.025,0.125,-0.061,0.094,0,0.155
202209141000,0.106,0.055,-0.03,-0.021,0.055,-0.091,-0.006,0,0.085
202209141100,0.14,0.079,-0.03,-0.031,0.079,-0.091,0.018,0,0.109
202209141200,0.207,0.158,-0.061,0.012,0.158,-0.091,0.127,0,0.219
202209141300,0.288,0.241,-0.061,0.014,0.241,-0.091,0.21,0,0.302
202209141400,0.375,0.329,-0.061,0.015,0.329,-0.091,0.298,0,0.39
202209141500,0.454,0.43,-0.03,0.006,0.43,-0.091,0.369,0,0.46
202209141600,0.504,0.494,-0.03,0.02,0.494,-0.061,0.463,0,0.524
202209141700,0.512,0.485,-0.03,0.003,0.485,-0.061,0.454,0,0.515
202209141800,0.48,0.445,-0.03,-0.005,0.445,-0.091,0.384,0,0.475
202209141900,0.418,0.387,-0.03,-0.001,0.387,-0.061,0.356,0,0.417
202209142000,0.336,0.341,-0.03,0.035,0.341,-0.061,0.31,0,0.371
202209142100,0.254,0.238,-0.03,0.015,0.238,-0.061,0.207,0,0.268
202209142200,0.201,0.171,0,-0.03,0.171,-0.03,0.14,0,0.171
202209142300,0.194,0.183,0,-0.011,0.183,-0.03,0.152,0,0.183
202209150000,0.222,0.25,0,0.028,0.25,0,0.25,0,0.25
202209150100,0.268,0.347,0,0.079,0.347,0,0.347,0.03,0.377
202209150200,0.329,0.396,0,0.067,0.396,0,0.396,0.03,0.426
202209150300,0.396,0.512,0.03,0.085,0.512,0,0.481,0.03,0.512
202209150400,0.449,0.625,0.03,0.145,0.625,0.03,0.625,0.061,0.655
202209150500,0.466,0.677,0.061,0.15,0.677,0.03,0.646,0.091,0.707
202209150600,0.442,0.683,0.122,0.119,0.683,0.091,0.652,0.152,0.713
202209150700,0.386,0.652,0.152,0.113,0.652,0.091,0.591,0.183,0.682
202209150800,0.309,0.613,0.183,0.121,0.613,0.122,0.552,0.244,0.674
202209150900,0.23,0.57,0.213,0.126,0.57,0.152,0.509,0.274,0.631
202209151000,0.18,0.506,0.244,0.082,0.506,0.183,0.445,0.335,0.597
202209151100,0.18,0.472,0.274,0.017,0.472,0.183,0.38,0.366,0.563
202209151200,0.225,0.57,0.274,0.07,0.57,0.213,0.509,0.335,0.631
202209151300,0.291,0.643,0.305,0.047,0.643,0.244,0.582,0.366,0.704
202209151400,0.365,0.725,0.305,0.055,0.725,0.274,0.694,0.366,0.785
202209151500,0.437,0.796,0.335,0.023,0.796,0.274,0.735,0.396,0.856
202209151600,0.495,0.829,0.305,0.029,0.829,0.274,0.798,0.366,0.89
202209151700,0.52,0.786,0.305,-0.039,0.786,0.244,0.725,0.366,0.847
202209151800,0.507,0.753,0.305,-0.059,0.753,0.244,0.692,0.366,0.814
202209151900,0.46,0.658,0.274,-0.077,0.658,0.244,0.627,0.335,0.719
202209152000,0.39,0.588,0.274,-0.076,0.588,0.213,0.527,0.335,0.649
202209152100,0.306,0.479,0.244,-0.071,0.479,0.213,0.448,0.305,0.54
202209152200,0.229,0.393,0.244,-0.08,0.393,0.183,0.332,0.305,0.454
202209152300,0.183,0.341,0.244,-0.087,0.341,0.183,0.28,0.274,0.371
202209160000,0.18,0.366,0.213,-0.027,0.366,0.183,0.335,0.274,0.427
202209160100,0.206,0.39,0.213,-0.03,0.39,0.152,0.329,0.244,0.42
202209160200,0.253,0.46,0.213,-0.007,0.46,0.152,0.399,0.244,0.49
202209160300,0.315,0.485,0.213,-0.044,0.485,0.152,0.424,0.244,0.515
202209160400,0.38,0.558,0.183,-0.005,0.558,0.122,0.497,0.244,0.619
202209160500,0.43,0.64,0.183,0.027,0.64,0.122,0.579,0.244,0.701
202209160600,0.447,0.658,0.183,0.028,0.658,0.122,0.597,0.213,0.688
202209160700,0.426,0.649,0.183,0.04,0.649,0.122,0.588,0.213,0.679
202209160800,0.377,0.604,0.183,0.044,0.604,0.122,0.543,0.213,0.634
