DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,-0.014,NaN,0.03,NaN,0.016,0,-0.014,0.061,0.047
202209140100,0.122,NaN,0.03,NaN,0.153,0,0.122,0.061,0.183
202209140200,0.287,NaN,0.03,NaN,0.318,0,0.287,0.061,0.348
202209140300,0.445,NaN,0.03,NaN,0.476,0,0.445,0.061,0.506
202209140400,0.565,NaN,0.03,NaN,0.596,0,0.565,0.061,0.626
202209140500,0.611,NaN,0,NaN,0.611,0,0.611,0.061,0.671
202209140600,0.572,NaN,0,NaN,0.572,0,0.572,0.061,0.632
202209140700,0.468,NaN,0.03,NaN,0.499,0,0.468,0.061,0.529
202209140800,0.332,NaN,0,NaN,0.332,0,0.332,0.061,0.393
202209140900,0.189,NaN,0,NaN,0.189,0,0.189,0.03,0.219
202209141000,0.063,NaN,0.03,NaN,0.093,0,0.063,0.03,0.093
202209141100,-0.015,NaN,0,NaN,-0.015,0,-0.015,0.03,0.016
202209141200,-0.01,NaN,0,NaN,-0.01,0,-0.01,0.03,0.021
202209141300,0.08,NaN,0,NaN,0.08,0,0.08,0.03,0.111
202209141400,0.215,NaN,0,NaN,0.215,-0.03,0.185,0,0.215
202209141500,0.355,NaN,0,NaN,0.355,-0.03,0.324,0.03,0.385
202209141600,0.47,NaN,0,NaN,0.47,-0.03,0.44,0.03,0.5
202209141700,0.529,NaN,0,NaN,0.529,-0.03,0.499,0.03,0.56
202209141800,0.511,NaN,0,NaN,0.511,-0.03,0.481,0,0.511
202209141900,0.426,NaN,0,NaN,0.426,-0.03,0.395,0,0.426
202209142000,0.301,NaN,0,NaN,0.301,-0.03,0.27,0,0.301
202209142100,0.167,NaN,0,NaN,0.167,-0.03,0.137,0,0.167
202209142200,0.048,NaN,0,NaN,0.048,-0.03,0.017,0,0.048
202209142300,-0.034,NaN,0,NaN,-0.034,-0.03,-0.065,0,-0.034
202209150000,-0.045,NaN,0,NaN,-0.045,-0.03,-0.076,0,-0.045
202209150100,0.034,NaN,0,NaN,0.034,0,0.034,0,0.034
202209150200,0.177,NaN,0,NaN,0.177,0,0.177,0,0.177
202209150300,0.334,NaN,0,NaN,0.334,0,0.334,0.03,0.365
202209150400,0.475,NaN,0,NaN,0.475,0,0.475,0.03,0.505
202209150500,0.57,NaN,0,NaN,0.57,0,0.57,0.03,0.601
202209150600,0.593,NaN,0.03,NaN,0.624,0,0.593,0.03,0.624
202209150700,0.538,NaN,0.03,NaN,0.569,0,0.538,0.03,0.569
202209150800,0.427,NaN,0.03,NaN,0.458,0,0.427,0.03,0.458
