DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,0.231,NaN,0,NaN,0.231,0,0.231,0.03,0.262
202209140100,0.158,NaN,0,NaN,0.158,-0.03,0.127,0.03,0.188
202209140200,0.08,NaN,0,NaN,0.08,-0.03,0.05,0,0.08
202209140300,0.034,NaN,0,NaN,0.034,-0.03,0.004,0,0.034
202209140400,0.039,NaN,0,NaN,0.039,-0.03,0.008,0,0.039
202209140500,0.084,NaN,0,NaN,0.084,-0.03,0.053,0,0.084
202209140600,0.15,NaN,0,NaN,0.15,-0.03,0.119,0,0.15
202209140700,0.222,NaN,-0.03,NaN,0.192,-0.03,0.192,0,0.222
202209140800,0.283,NaN,-0.03,NaN,0.253,-0.061,0.223,0,0.283
202209140900,0.313,NaN,-0.03,NaN,0.282,-0.061,0.252,0,0.313
202209141000,0.304,NaN,-0.03,NaN,0.273,-0.061,0.243,0,0.304
202209141100,0.267,NaN,-0.03,NaN,0.237,-0.061,0.206,0,0.267
202209141200,0.207,NaN,-0.03,NaN,0.177,-0.061,0.146,0,0.207
202209141300,0.123,NaN,-0.03,NaN,0.093,-0.061,0.062,0,0.123
202209141400,0.03,NaN,-0.03,NaN,-0.001,-0.061,-0.031,0,0.03
202209141500,-0.038,NaN,-0.03,NaN,-0.068,-0.061,-0.099,0,-0.038
202209141600,-0.054,NaN,-0.03,NaN,-0.084,-0.061,-0.115,0,-0.054
202209141700,-0.018,NaN,-0.03,NaN,-0.048,-0.03,-0.048,0,-0.018
202209141800,0.053,NaN,-0.03,NaN,0.022,-0.061,-0.008,0,0.053
202209141900,0.141,NaN,-0.03,NaN,0.111,-0.061,0.08,0,0.141
202209142000,0.227,NaN,-0.03,NaN,0.197,-0.03,0.197,0,0.227
202209142100,0.289,NaN,-0.03,NaN,0.258,-0.03,0.258,0,0.289
202209142200,0.315,NaN,0,NaN,0.315,-0.03,0.285,0,0.315
202209142300,0.311,NaN,0,NaN,0.311,-0.03,0.28,0,0.311
202209150000,0.278,NaN,0,NaN,0.278,0,0.278,0,0.278
202209150100,0.215,NaN,0,NaN,0.215,0,0.215,0,0.215
202209150200,0.131,NaN,0,NaN,0.131,0,0.131,0.03,0.162
202209150300,0.056,NaN,0.03,NaN,0.086,0,0.056,0.061,0.117
202209150400,0.02,NaN,0.03,NaN,0.05,0.03,0.05,0.061,0.081
202209150500,0.032,NaN,0.061,NaN,0.093,0.03,0.062,0.091,0.123
202209150600,0.083,NaN,0.091,NaN,0.175,0.061,0.144,0.122,0.205
202209150700,0.155,NaN,0.122,NaN,0.277,0.091,0.247,0.152,0.308
202209150800,0.229,NaN,0.152,NaN,0.381,0.091,0.32,0.213,0.442
202209150900,0.282,NaN,0.183,NaN,0.465,0.122,0.404,0.244,0.525
202209151000,0.304,NaN,0.213,NaN,0.517,0.152,0.456,0.274,0.578
202209151100,0.296,NaN,0.213,NaN,0.509,0.152,0.448,0.274,0.57
202209151200,0.259,NaN,0.213,NaN,0.473,0.152,0.412,0.244,0.503
202209151300,0.194,NaN,0.213,NaN,0.407,0.152,0.346,0.244,0.438
202209151400,0.106,NaN,0.213,NaN,0.319,0.152,0.258,0.244,0.35
202209151500,0.02,NaN,0.213,NaN,0.233,0.183,0.203,0.244,0.264
202209151600,-0.032,NaN,0.213,NaN,0.181,0.183,0.151,0.244,0.212
202209151700,-0.034,NaN,0.213,NaN,0.179,0.152,0.118,0.244,0.209
202209151800,0.011,NaN,0.213,NaN,0.224,0.183,0.194,0.274,0.285
202209151900,0.089,NaN,0.213,NaN,0.302,0.152,0.241,0.244,0.333
202209152000,0.176,NaN,0.213,NaN,0.389,0.152,0.328,0.244,0.42
202209152100,0.25,NaN,0.213,NaN,0.463,0.152,0.402,0.244,0.493
202209152200,0.298,NaN,0.213,NaN,0.512,0.152,0.451,0.244,0.542
202209152300,0.318,NaN,0.213,NaN,0.531,0.152,0.47,0.244,0.562
202209160000,0.306,NaN,0.183,NaN,0.489,0.152,0.458,0.244,0.55
202209160100,0.26,NaN,0.183,NaN,0.443,0.122,0.382,0.244,0.504
202209160200,0.186,NaN,0.183,NaN,0.369,0.122,0.308,0.244,0.43
202209160300,0.103,NaN,0.183,NaN,0.286,0.122,0.225,0.244,0.347
202209160400,0.037,NaN,0.152,NaN,0.19,0.091,0.129,0.213,0.251
202209160500,0.012,NaN,0.152,NaN,0.164,0.091,0.103,0.213,0.225
202209160600,0.033,NaN,0.122,NaN,0.155,0.061,0.094,0.183,0.216
202209160700,0.092,NaN,0.122,NaN,0.214,0.061,0.153,0.183,0.275
202209160800,0.164,NaN,0.122,NaN,0.286,0.091,0.256,0.183,0.347
202209160900,0.228,NaN,0.122,NaN,0.35,0.061,0.289,0.152,0.38
202209161000,0.272,NaN,0.122,NaN,0.394,0.061,0.333,0.152,0.425
202209161100,0.293,NaN,0.122,NaN,0.415,0.061,0.354,0.152,0.445
202209161200,0.283,NaN,0.091,NaN,0.375,0.03,0.314,0.122,0.405
202209161300,0.241,NaN,0.091,NaN,0.333,0.061,0.302,0.122,0.363
202209161400,0.173,NaN,0.091,NaN,0.264,0.061,0.233,0.122,0.294
202209161500,0.093,NaN,0.122,NaN,0.215,0.091,0.184,0.152,0.245
202209161600,0.023,NaN,0.122,NaN,0.144,0.091,0.114,0.152,0.175
202209161700,-0.015,NaN,0.152,NaN,0.138,0.122,0.107,0.183,0.168
202209161800,-0.003,NaN,0.213,NaN,0.21,0.122,0.119,0.305,0.301
202209161900,0.052,NaN,0.305,NaN,0.357,0.152,0.205,0.396,0.449
202209162000,0.13,NaN,0.396,NaN,0.526,0.183,0.313,0.488,0.618
202209162100,0.205,NaN,0.518,NaN,0.723,0.274,0.479,0.64,0.845
202209162200,0.264,NaN,0.671,NaN,0.935,0.427,0.691,0.792,1.057
202209162300,0.304,NaN,0.792,NaN,1.096,0.549,0.853,0.914,1.218
202209170000,0.313,NaN,0.853,NaN,1.167,0.64,0.953,1.006,1.319
202209170100,0.287,NaN,0.945,NaN,1.232,0.762,1.049,1.067,1.354
202209170200,0.23,NaN,1.006,NaN,1.235,0.853,1.083,1.128,1.357
202209170300,0.156,NaN,1.128,NaN,1.284,0.975,1.131,1.219,1.375
202209170400,0.081,NaN,1.25,NaN,1.331,1.067,1.148,1.341,1.423
202209170500,0.026,NaN,1.372,NaN,1.398,1.189,1.215,1.463,1.489
202209170600,0.012,NaN,1.463,NaN,1.475,1.311,1.322,1.646,1.658
202209170700,0.044,NaN,1.646,NaN,1.69,1.494,1.538,1.859,1.903
202209170800,0.105,NaN,1.859,NaN,1.964,1.676,1.781,2.073,2.177
202209170900,0.168,NaN,2.073,NaN,2.24,1.89,2.057,2.256,2.423
202209171000,0.222,NaN,2.286,NaN,2.508,2.134,2.355,2.438,2.66
202209171100,0.263,NaN,2.469,NaN,2.732,2.286,2.549,2.652,2.914
