DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,4.017,NaN,0.366,NaN,4.383,0.274,4.291,0.427,4.444
202209140100,5.219,NaN,0.366,NaN,5.585,0.274,5.493,0.427,5.646
202209140200,5.896,NaN,0.396,NaN,6.292,0.305,6.201,0.457,6.353
202209140300,5.943,NaN,0.427,NaN,6.37,0.335,6.278,0.488,6.431
202209140400,5.436,NaN,0.457,NaN,5.894,0.366,5.802,0.518,5.955
202209140500,4.503,NaN,0.457,NaN,4.96,0.366,4.869,0.549,5.052
202209140600,3.37,NaN,0.488,NaN,3.858,0.427,3.797,0.61,3.98
202209140700,2.241,NaN,0.518,NaN,2.759,0.427,2.668,0.61,2.85
202209140800,1.313,NaN,0.518,NaN,1.831,0.427,1.739,0.61,1.922
202209140900,0.969,NaN,0.488,NaN,1.457,0.427,1.396,0.549,1.518
202209141000,1.44,NaN,0.457,NaN,1.897,0.396,1.836,0.518,1.958
202209141100,2.473,NaN,0.427,NaN,2.9,0.335,2.808,0.488,2.961
202209141200,3.698,NaN,0.335,NaN,4.033,0.274,3.972,0.396,4.094
202209141300,4.84,NaN,0.274,NaN,5.114,0.244,5.084,0.335,5.175
202209141400,5.574,NaN,0.274,NaN,5.848,0.213,5.787,0.335,5.909
202209141500,5.692,NaN,0.244,NaN,5.935,0.213,5.905,0.305,5.996
202209141600,5.233,NaN,0.244,NaN,5.477,0.183,5.416,0.305,5.538
202209141700,4.309,NaN,0.213,NaN,4.523,0.183,4.492,0.274,4.584
202209141800,3.116,NaN,0.213,NaN,3.329,0.183,3.299,0.274,3.39
202209141900,1.894,NaN,0.183,NaN,2.077,0.152,2.046,0.244,2.138
202209142000,0.817,NaN,0.183,NaN,1,0.152,0.97,0.213,1.031
202209142100,0.194,NaN,0.152,NaN,0.346,0.122,0.316,0.213,0.407
202209142200,0.395,NaN,0.152,NaN,0.547,0.122,0.517,0.183,0.578
202209142300,1.365,NaN,0.122,NaN,1.487,0.091,1.456,0.152,1.517
202209150000,2.721,NaN,0.122,NaN,2.843,0.091,2.812,0.152,2.873
202209150100,4.154,NaN,0.122,NaN,4.276,0.091,4.246,0.152,4.307
202209150200,5.352,NaN,0.122,NaN,5.474,0.091,5.443,0.152,5.504
202209150300,6.006,NaN,0.122,NaN,6.128,0.091,6.098,0.183,6.189
202209150400,6.046,NaN,0.152,NaN,6.198,0.122,6.168,0.213,6.259
202209150500,5.546,NaN,0.183,NaN,5.729,0.152,5.699,0.244,5.79
202209150600,4.636,NaN,0.244,NaN,4.88,0.213,4.849,0.305,4.941
202209150700,3.539,NaN,0.305,NaN,3.844,0.244,3.783,0.335,3.875
202209150800,2.434,NaN,0.366,NaN,2.8,0.305,2.739,0.427,2.861
202209150900,1.531,NaN,0.457,NaN,1.989,0.335,1.867,0.549,2.08
202209151000,1.233,NaN,0.549,NaN,1.782,0.427,1.66,0.671,1.903
202209151100,1.713,NaN,0.64,NaN,2.353,0.488,2.201,0.762,2.475
202209151200,2.684,NaN,0.64,NaN,3.324,0.457,3.141,0.762,3.446
202209151300,3.805,NaN,0.701,NaN,4.506,0.518,4.323,0.823,4.627
202209151400,4.812,NaN,0.732,NaN,5.544,0.549,5.361,0.853,5.666
202209151500,5.393,NaN,0.732,NaN,6.124,0.579,5.972,0.853,6.246
202209151600,5.386,NaN,0.701,NaN,6.087,0.579,5.965,0.853,6.24
202209151700,4.853,NaN,0.701,NaN,5.554,0.579,5.432,0.823,5.676
202209151800,3.907,NaN,0.732,NaN,4.638,0.61,4.517,0.853,4.76
202209151900,2.751,NaN,0.732,NaN,3.482,0.64,3.391,0.823,3.573
202209152000,1.598,NaN,0.732,NaN,2.33,0.61,2.208,0.823,2.421
202209152100,0.609,NaN,0.732,NaN,1.341,0.61,1.219,0.853,1.463
202209152200,0.121,NaN,0.701,NaN,0.822,0.579,0.7,0.853,0.974
202209152300,0.469,NaN,0.64,NaN,1.109,0.518,0.988,0.823,1.292
202209160000,1.527,NaN,0.457,NaN,1.985,0.396,1.924,0.518,2.046
202209160100,2.911,NaN,0.396,NaN,3.307,0.335,3.246,0.457,3.368
