DATE,TIDE,OB,SURGE,BIAS,TWL,SURGE90p,TWL90p,SURGE10p,TWL10p
202209140000,0.536,0.433,-0.244,0.141,0.433,-0.244,0.433,-0.244,0.433
202209140100,0.555,0.424,-0.244,0.112,0.424,-0.244,0.424,-0.244,0.424
202209140200,0.611,0.5,-0.244,0.133,0.5,-0.244,0.5,-0.213,0.53
202209140300,0.689,0.579,-0.213,0.103,0.579,-0.244,0.548,-0.213,0.579
202209140400,0.77,0.683,-0.213,0.126,0.683,-0.244,0.652,-0.213,0.683
202209140500,0.829,0.738,-0.213,0.122,0.738,-0.244,0.707,-0.213,0.738
202209140600,0.842,0.759,-0.183,0.099,0.759,-0.183,0.759,-0.152,0.789
202209140700,0.796,0.738,-0.152,0.094,0.738,-0.183,0.707,-0.152,0.738
202209140800,0.694,0.637,-0.152,0.095,0.637,-0.183,0.606,-0.152,0.637
202209140900,0.551,0.463,-0.152,0.064,0.463,-0.183,0.432,-0.152,0.463
202209141000,0.393,0.308,-0.152,0.067,0.308,-0.183,0.277,-0.152,0.308
202209141100,0.255,0.165,-0.152,0.062,0.165,-0.183,0.134,-0.152,0.165
202209141200,0.166,0.098,-0.152,0.085,0.098,-0.152,0.098,-0.152,0.098
202209141300,0.143,0.064,-0.152,0.073,0.064,-0.152,0.064,-0.152,0.064
202209141400,0.187,0.076,-0.152,0.041,0.076,-0.152,0.076,-0.122,0.106
202209141500,0.286,0.177,-0.152,0.043,0.177,-0.152,0.177,-0.122,0.207
202209141600,0.42,0.323,-0.152,0.055,0.323,-0.152,0.323,-0.122,0.353
202209141700,0.567,0.488,-0.122,0.043,0.488,-0.152,0.457,-0.122,0.488
202209141800,0.699,0.607,-0.152,0.06,0.607,-0.183,0.576,-0.152,0.607
202209141900,0.794,0.707,-0.152,0.065,0.707,-0.183,0.676,-0.152,0.707
202209142000,0.839,0.783,-0.152,0.096,0.783,-0.183,0.752,-0.152,0.783
202209142100,0.835,0.783,-0.152,0.101,0.783,-0.183,0.752,-0.152,0.783
202209142200,0.792,0.759,-0.152,0.119,0.759,-0.183,0.728,-0.152,0.759
202209142300,0.73,0.744,-0.152,0.166,0.744,-0.183,0.713,-0.152,0.744
202209150000,0.678,0.698,-0.183,0.203,0.698,-0.213,0.667,-0.183,0.698
202209150100,0.656,0.643,-0.183,0.169,0.643,-0.213,0.612,-0.183,0.643
202209150200,0.673,0.671,-0.183,0.18,0.671,-0.213,0.64,-0.183,0.671
202209150300,0.721,0.741,-0.183,0.202,0.741,-0.183,0.741,-0.183,0.741
202209150400,0.787,0.817,-0.183,0.212,0.817,-0.183,0.817,-0.152,0.847
202209150500,0.849,0.869,-0.152,0.172,0.869,-0.183,0.838,-0.152,0.869
202209150600,0.881,0.942,-0.152,0.213,0.942,-0.152,0.942,-0.122,0.972
202209150700,0.861,0.951,-0.152,0.242,0.951,-0.152,0.951,-0.122,0.981
202209150800,0.778,0.849,-0.122,0.194,0.849,-0.152,0.819,-0.122,0.849
202209150900,0.639,0.692,-0.122,0.175,0.692,-0.122,0.692,-0.091,0.722
202209151000,0.464,0.524,-0.091,0.151,0.524,-0.122,0.493,-0.091,0.524
